id	artifact	kind	current_authority_or_input	current_api	diagnostics_owner	cutover_disposition	required_change	evidence
MCI-01	tools/standards_verifier/standards_verifier/canonical_modules.py	production-authority	evaluation/standards-effectiveness/canonical-module-corpus.toml and canonical documents	load_canonical_module_corpus	standards_verifier	remove-old-authority	Move corpus loading and immutable corpus views to standards_metadata; delete this module after all consumers cut over.	Normalized old/new corpus equivalence and absence of the old module
MCI-02	tools/standards_verifier/standards_verifier/checks/metadata.py	production-authority-and-verifier-check	canonical document metadata fields	load_module_metadata and load_module_metadata_graph	standards_verifier	adapt-now	Move neutral parsing and structural validation to standards_metadata; retain check configuration and translate neutral failures to verifier diagnostics.	Metadata fixtures and diagnostic-equivalence tests
MCI-03	tools/standards_verifier/standards_verifier/repository_graph.py	production-consumer	canonical corpus and suite registry	load_repository_registry	graph_engine with standards_verifier translation	cut-over	Load canonical corpus through standards_metadata while preserving registered provider output and graph failures.	Repository graph tests and exact group/node/edge comparison
MCI-04	tools/standards_verifier/standards_verifier/checks/metadata_route.py	production-consumer	canonical corpus plus metadata dependency graph	MetadataRouteCheck.run	standards_verifier	cut-over	Resolve corpus through standards_metadata; retain verifier routing diagnostics and existing graph traversal.	Metadata-route tests and s1-routing suite
MCI-05	tools/standards_verifier/standards_verifier/policy_impact.py	production-consumer	individual canonical document metadata	load_policy_impact_adapter validation	standards_verifier	cut-over	Resolve owner and normative-consumer metadata through standards_metadata; retain policy-specific diagnostics and graph validation.	Policy-impact tests and policy-semantic-impact suite
MCI-06	tools/standards_verifier/standards_verifier/graph_adapters.py	production-projection	iterable MetadataModule structural protocol	metadata_dependency_source and metadata_dependency_registry	graph_engine	retain-compatible	No source change: the adapter neither discovers nor parses canonical authority and accepts the neutral immutable module view structurally.	Exact metadata graph projection comparison
MCI-07	tools/query_edges.py	production-entrypoint	repository graph composition	load_repository_registry indirect import	graph_engine	verify-no-change	No source change unless import composition changes; callers remain isolated from metadata loaders.	CLI integration and logical/path alias parity
MCI-08	tools/standards_verifier/tests/test_canonical_modules.py	test-consumer	verifier-owned canonical corpus loader	load_canonical_module_corpus	unittest	replace	Move canonical loading coverage to standards_metadata tests; retain only verifier adapter coverage where applicable.	Neutral metadata test suite
MCI-09	tools/standards_verifier/tests/test_metadata.py	test-consumer	verifier metadata parser and dependency projection	load_module_metadata and metadata_dependency_registry	unittest	adapt-now	Test neutral loading separately and verifier diagnostic translation at the verifier boundary.	Neutral and verifier metadata tests
MCI-10	tools/standards_verifier/tests/test_repository_graph.py	test-consumer	canonical corpus plus repository graph	load_canonical_module_corpus and load_repository_registry	unittest	adapt-now	Import neutral corpus API and preserve repository composition assertions.	Repository graph tests
MCI-11	tools/standards_verifier/tests/test_metadata_route.py	test-consumer	metadata route verifier check	registered check behavior	unittest	verify-no-change	Retain behavior tests; update only if neutral diagnostic translation changes construction details.	Metadata-route tests
MCI-12	tools/standards_verifier/tests/test_policy_impact.py	test-consumer	policy-impact adapter and canonical metadata validation	load_policy_impact_adapter	unittest	verify-no-change	Retain policy-specific behavior and negative diagnostics across the neutral cutover.	Policy-impact tests
MCI-13	evaluation/standards-effectiveness/suites/*.toml	declarative-entrypoints	registered metadata_graph metadata_route and policy_impact checks	standards_verifier check registry	standards_verifier	verify-no-change	No schema or suite edits: declarative files invoke verifier checks and do not load metadata independently.	Affected declarative suites and complete declarative registry
MCI-14	evaluation/standards-effectiveness/edge-source-registry.toml	provider-registration	repository graph provider identity	registered provider ID	graph_engine	verify-no-change	Retain provider registration unless normalized equivalence shows a naming change is required; provider identity is provenance, not metadata authority.	Repository registry load and generated-evidence freshness
