case	identity	required_mode	evidence_mode	required_set	expected
focused-exact	same	automated	automated	complete	satisfied
integration-exact	same	automated	automated	complete	satisfied
manual-exact	same	manual	manual	complete	satisfied
either-automated	same	either	automated	complete	satisfied
either-manual	same	either	manual	complete	satisfied
complete-contract-system-set	same	automated	automated	complete	satisfied
missing-required-claim	same	automated	automated	incomplete	unsatisfied
required-real-vs-simulated	different-environment	manual	automated	complete	unsatisfied
release-smoke-vs-user-workflow	different-kind	automated	automated	complete	unsatisfied
manual-required-vs-automated	same	manual	automated	complete	unsatisfied
automated-required-vs-manual	same	automated	manual	complete	unsatisfied
manual-artifact-vs-user-workflow	different-kind	either	manual	complete	unsatisfied
