legacy_owner	legacy_consumer	relation	disposition	replacement_policy_units	locator_assessment	rationale	evidence_owner
workflow.commit	router	router-projection	split	workflow.commit.per-commit-boundary;workflow.commit.isolation-applicability;workflow.commit.integration-mechanisms;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle;workflow.commit.branch-history-review;workflow.commit.hook-bypass-authority;workflow.commit.rewrite-authority	existing-headings	Router projects the independently applicable commit, isolation, integration, lifecycle, history, bypass, and rewrite policies.	suite:commit-consolidation-dispositions
workflow.commit	workflow.implementation	normative-consumer	split	workflow.commit.isolation-applicability;workflow.commit.integration-mechanisms;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle;workflow.commit.branch-history-review	existing-headings	Implementation delegates these independently changeable Git lifecycle policies to Commit.	suite:commit-consolidation-dispositions
workflow.commit	workflow.planning	normative-consumer	split	workflow.commit.isolation-applicability;workflow.commit.worktree-lifecycle	existing-headings	Planning consumes plan-level isolation and reachability-aware cleanup handoff only.	suite:commit-consolidation-dispositions
workflow.commit	profile.workflow.concurrent-plan-integration	normative-consumer	split	workflow.commit.integration-mechanisms;workflow.commit.cherry-pick-lineage;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle	existing-headings	The concurrent profile consumes integration, replacement lineage, terminal branch state, and cleanup handoff.	suite:concurrent-plan-integration
workflow.commit	workflow.release	normative-consumer	mapped	workflow.commit.terminal-branch-lifecycle	existing-heading	Release maintenance consumes the explicit long-lived branch contract.	suite:release-maintenance-policy
workflow.commit	prompts/planning.md	prompt-projection	split	workflow.commit.isolation-applicability;workflow.commit.worktree-lifecycle	existing-headings	The planning prompt projects optional isolation and protected cleanup facts.	suite:commit-consolidation-dispositions
workflow.commit	prompts/implement-plan.md	prompt-projection	split	workflow.commit.isolation-applicability;workflow.commit.integration-mechanisms;workflow.commit.worktree-lifecycle	existing-headings	The implementation prompt projects conditional isolation, integration selection, and protected cleanup.	suite:commit-consolidation-dispositions
workflow.commit	templates/PLAN-TEMPLATE.md	template-projection	split	workflow.commit.isolation-applicability;workflow.commit.worktree-lifecycle	existing-headings	The plan template projects optional isolation and reachability-aware terminal disposition.	suite:commit-consolidation-dispositions
workflow.commit	reference.recipes.commits	reference-projection	split	workflow.commit.per-commit-boundary;workflow.commit.integration-mechanisms;workflow.commit.worktree-lifecycle	existing-headings	The recipe illustrates inspection, integration, and protected-OID mechanisms.	suite:commit-consolidation-dispositions
workflow.commit	evaluation/standards-effectiveness/fixtures/commit/authority.tsv	fixture-projection	split	workflow.commit.per-commit-boundary;workflow.commit.rewrite-authority	existing-headings	The authority fixture covers staged review and history rewrite authority.	suite:commit-consolidation-dispositions
workflow.commit	evaluation/standards-effectiveness/fixtures/commit/hook-bypass.tsv	fixture-projection	mapped	workflow.commit.hook-bypass-authority	existing-heading	The fixture directly projects hook-bypass authority.	suite:commit-consolidation-dispositions
workflow.commit	evaluation/standards-effectiveness/fixtures/commit/branch-lifecycle.tsv	fixture-projection	split	workflow.commit.isolation-applicability;workflow.commit.branch-context;workflow.commit.integration-mechanisms;workflow.commit.cherry-pick-lineage;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle	existing-headings	The lifecycle fixture covers six independently changeable branch and worktree policies.	suite:commit-consolidation-dispositions
workflow.commit	evaluation/standards-effectiveness/fixtures/commit/task-worktree-terminal.tsv	fixture-projection	mapped	workflow.commit.worktree-lifecycle	existing-heading	The terminal fixture directly projects task-worktree cleanup and reachability outcomes.	suite:commit-consolidation-dispositions
workflow.commit	commit-consolidation-dispositions	enforcement-suite-projection	split	workflow.commit.per-commit-boundary;workflow.commit.isolation-applicability;workflow.commit.branch-context;workflow.commit.integration-mechanisms;workflow.commit.cherry-pick-lineage;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle;workflow.commit.branch-history-review;workflow.commit.hook-bypass-authority;workflow.commit.rewrite-authority;workflow.commit.topology;workflow.commit.commit-message;workflow.commit.invalid-outcomes	existing-headings	The registered suite enforces all current Commit decision families.	suite:commit-consolidation-dispositions
workflow.commit	evaluation/standards-effectiveness/README.md	documentation-projection	split	workflow.commit.per-commit-boundary;workflow.commit.isolation-applicability;workflow.commit.branch-context;workflow.commit.integration-mechanisms;workflow.commit.cherry-pick-lineage;workflow.commit.terminal-branch-lifecycle;workflow.commit.worktree-lifecycle	existing-headings	The README describes the suite's commit, branch, worktree, and reachability coverage.	suite:commit-consolidation-dispositions
workflow.planning	router	router-projection	split	workflow.planning.written-plan-applicability;workflow.planning.concurrent-integration-routing	existing-headings	Router independently projects written-plan and concurrent-profile applicability.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	fixture-projection	mapped	workflow.planning.plan-admission	existing-heading	The fixture directly projects explicit written-plan admission and operation.	suite:plan-implementation-entrypoint
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	fixture-projection	split	workflow.planning.written-plan-applicability;workflow.planning.lifecycle;workflow.planning.plan-admission	existing-headings	The fixture covers applicability, lifecycle state, and explicit admission decisions.	suite:planning-admission
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	fixture-projection	mapped	workflow.planning.concurrent-integration-routing	existing-heading	The fixture directly projects concurrent-profile routing.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	fixture-projection	mapped	workflow.planning.concurrent-integration-routing	existing-heading	Planning owns conditional selection while the profile owns selected concurrency outcomes.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	fixture-projection	split	workflow.planning.artifact-model;workflow.planning.active-plan-fields;workflow.planning.current-state;workflow.planning.replanning;workflow.planning.findings;workflow.planning.concurrent-work;workflow.planning.completion	existing-headings	The consolidation fixture spans current artifact ownership, state, replanning, findings, concurrency, and completion.	suite:planning-consolidation
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	fixture-projection	mapped	workflow.planning.written-plan-applicability	existing-heading	The full-review fixture projects whether analysis requires Planning.	suite:full-review-prompt-entrypoint
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	fixture-projection	split	workflow.planning.artifact-model;workflow.planning.active-plan-fields;workflow.planning.repository-isolation;workflow.planning.concurrent-work	existing-headings	The template fixture covers plan structure plus conditional isolation and concurrency sections.	suite:plan-template-projection
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	fixture-projection	split	workflow.planning.written-plan-applicability;workflow.planning.milestones-and-slices;workflow.planning.current-state;workflow.planning.concurrent-integration-routing	existing-headings	The fixture covers plan applicability, proportional slices, artifact update cadence, and conditional concurrency.	suite:planning-admission
workflow.planning	concurrent-plan-integration	enforcement-suite-projection	mapped	workflow.planning.concurrent-integration-routing	existing-heading	The suite enforces conditional concurrent-profile routing.	suite:concurrent-plan-integration
workflow.planning	full-review-prompt-entrypoint	enforcement-suite-projection	mapped	workflow.planning.written-plan-applicability	existing-heading	The suite enforces the full-review entrypoint's Planning selection.	suite:full-review-prompt-entrypoint
workflow.planning	plan-implementation-entrypoint	enforcement-suite-projection	split	workflow.planning.plan-admission;workflow.planning.lifecycle	existing-headings	The suite enforces admitted operation and lifecycle consumption.	suite:plan-implementation-entrypoint
workflow.planning	plan-template-projection	enforcement-suite-projection	split	workflow.planning.artifact-model;workflow.planning.active-plan-fields;workflow.planning.repository-isolation;workflow.planning.concurrent-work	existing-headings	The suite enforces all current Planning-derived template sections.	suite:plan-template-projection
workflow.planning	planning-admission	enforcement-suite-projection	split	workflow.planning.written-plan-applicability;workflow.planning.lifecycle;workflow.planning.plan-admission	existing-headings	The suite enforces ordinary plan selection and admission.	suite:planning-admission
workflow.planning	planning-consolidation	enforcement-suite-projection	split	workflow.planning.artifact-model;workflow.planning.active-plan-fields;workflow.planning.acceptance-claims;workflow.planning.milestones-and-slices;workflow.planning.current-state;workflow.planning.replanning;workflow.planning.findings;workflow.planning.concurrent-work;workflow.planning.completion	existing-headings	The suite enforces current Planning ownership and process decisions.	suite:planning-consolidation
workflow.planning	policy-semantic-impact	enforcement-suite-projection	mapped	workflow.planning.projection-completeness	existing-heading	The suite directly enforces Planning's semantic-consumer projection contract.	suite:policy-semantic-impact
workflow.planning	s1-routing	enforcement-suite-projection	split	workflow.planning.written-plan-applicability;workflow.planning.concurrent-integration-routing	existing-headings	The routing suite enforces bounded Planning and concurrent-profile selection.	suite:s1-routing
workflow.planning	profile.workflow.concurrent-plan-integration	normative-consumer	split	workflow.planning.lifecycle;workflow.planning.concurrent-integration-routing	existing-headings	The profile specializes concurrent integration while Planning retains lifecycle authority.	suite:concurrent-plan-integration
workflow.planning	prompts/full-codebase-standards-refactor.md	prompt-projection	mapped	workflow.planning.written-plan-applicability	existing-heading	The full-codebase prompt delegates analysis-only plan selection.	suite:full-review-prompt-entrypoint
workflow.planning	prompts/implement-plan.md	prompt-projection	split	workflow.planning.plan-admission;workflow.planning.concurrent-integration-routing	existing-headings	The prompt projects admitted plan operation and conditional concurrent-profile selection.	suite:plan-implementation-entrypoint
workflow.planning	prompts/planning.md	prompt-projection	split	workflow.planning.written-plan-applicability;workflow.planning.artifact-model;workflow.planning.milestones-and-slices;workflow.planning.replanning;workflow.planning.concurrent-work	existing-headings	The prompt projects plan selection, artifact, slice, replanning, and concurrency decisions.	suite:planning-admission
workflow.planning	templates/PLAN-TEMPLATE.md	template-projection	split	workflow.planning.artifact-model;workflow.planning.active-plan-fields;workflow.planning.repository-isolation;workflow.planning.concurrent-work	existing-headings	The template projects current artifact fields and conditional isolation and concurrency records.	suite:plan-template-projection
workflow.planning	workflow.commit	normative-consumer	mapped	workflow.planning.current-state	existing-heading	Commit consumes plan and ledger update boundaries from current-state ownership.	suite:commit-consolidation-dispositions
workflow.planning	workflow.implementation	normative-consumer	split	workflow.planning.plan-admission;workflow.planning.lifecycle;workflow.planning.current-state;workflow.planning.acceptance-claims	existing-headings	Implementation consumes admitted operation, lifecycle, current authority, and acceptance decisions.	suite:plan-implementation-entrypoint
