consumer	relation	disposition	reason	evidence
STANDARDS-ROUTER.md	router-projection	updated	Bounded-local precedence and material Planning triggers now route explicitly.	suite:s1-routing
evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	fixture-projection	reviewed-no-change	The fixture already proves explicit path and operation admission without copied process or fallback.	suite:plan-implementation-entrypoint
evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	fixture-projection	reviewed-no-change	The fixture already owns ordinary plan path, operation, lifecycle, and fallback outcomes.	suite:planning-admission
evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	fixture-projection	reviewed-no-change	The accepted applicability rows already distinguish stale-capable proposals from ordinary collaboration.	suite:concurrent-plan-integration
evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	fixture-projection	reviewed-no-change	The accepted rows already preserve stale, compatibility, reconciliation, and no-fallback outcomes when selected.	suite:concurrent-plan-integration
evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	fixture-projection	reviewed-no-change	The existing commit-cadence rejection remains correct; dedicated multi-output evidence owns proportionality.	suite:planning-consolidation
evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	fixture-projection	reviewed-no-change	The fixture correctly requires the analysis-only review entrypoint to delegate through Router and Planning without copying process.	suite:full-review-prompt-entrypoint
evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	fixture-projection	reviewed-no-change	The fixture already rejects fixed milestone counts and copied policy while permitting conditional concurrency.	suite:plan-template-projection
evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	fixture-projection	updated	New decision evidence covers all seven required plan, slice, artifact-update, and concurrency cases.	suite:planning-admission
evaluation/standards-effectiveness/suites/concurrent-plan-integration.toml	enforcement-suite-projection	reviewed-no-change	The suite already enforces precise profile selection, exclusions, stale outcomes, and conditional projections.	suite:concurrent-plan-integration
evaluation/standards-effectiveness/suites/full-review-prompt-entrypoint.toml	enforcement-suite-projection	reviewed-no-change	The suite already owns the full-review prompt's explicit Planning delegation and its decision fixture.	suite:full-review-prompt-entrypoint
evaluation/standards-effectiveness/suites/plan-implementation-entrypoint.toml	enforcement-suite-projection	updated	The prompt projection now requires plan operation and prohibits the inaccurate plan-transition phrase.	suite:plan-implementation-entrypoint
evaluation/standards-effectiveness/suites/plan-template-projection.toml	enforcement-suite-projection	updated	The suite now requires one-milestone and coherent-slice template guidance.	suite:plan-template-projection
evaluation/standards-effectiveness/suites/planning-admission.toml	enforcement-suite-projection	updated	The suite rejects unconditional concurrent-only consumption and evaluates all proportionality outputs.	suite:planning-admission
evaluation/standards-effectiveness/suites/planning-consolidation.toml	enforcement-suite-projection	updated	The suite enforces coherent slicing, bounded precedence, and non-mechanical plan and ledger updates.	suite:planning-consolidation
evaluation/standards-effectiveness/suites/policy-semantic-impact.toml	enforcement-suite-projection	reviewed-no-change	The accepted suite automatically validates the added explicit fixture edge and bounded owner coverage.	suite:policy-semantic-impact
evaluation/standards-effectiveness/suites/s1-routing.toml	enforcement-suite-projection	updated	The suite now enforces bounded-local precedence and rejects the former broad Planning route.	suite:s1-routing
profiles/workflows/concurrent-plan-integration.md	normative-consumer	reviewed-no-change	The profile already owns only stale-capable proposal revision, compatibility, and reconciliation behavior.	suite:concurrent-plan-integration
prompts/full-codebase-standards-refactor.md	prompt-projection	reviewed-no-change	The prompt correctly delegates analysis-only plan creation through Router and canonical Planning without copying workflow mechanics.	suite:full-review-prompt-entrypoint
prompts/implement-plan.md	prompt-projection	updated	The prompt now names a plan operation and omits concurrent-only records for ordinary implementation.	suite:plan-implementation-entrypoint
prompts/planning.md	prompt-projection	updated	The prompt now selects coherent units and splits only for material acceptance, risk, or dependency value.	suite:planning-consolidation
templates/PLAN-TEMPLATE.md	template-projection	updated	The template now permits one milestone and one slice and rejects count- or cadence-driven decomposition.	suite:plan-template-projection
workflows/commit.md	normative-consumer	updated	Planning artifacts now change for authority, accepted state, deviations, or evidence rather than each commit.	suite:planning-consolidation
workflows/implementation.md	normative-consumer	updated	Ordinary written-plan work consumes generic Planning decisions; concurrent-only decisions are conditional.	suite:planning-admission
