accepted_source	accepted_relation	accepted_consumer	accepted_declaration_source	accepted_fingerprint	proposed_source	proposed_relation	proposed_consumer	proposed_declaration_source	proposed_fingerprint	disposition
profile.boundary.generated-contract.applicability	enforcement-suite-projection	standards-recovery-routing	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:f2fc2401938cc2b4d8cc91c01adca197e747117240b1b303ebc7ae1aa07701a0	profile.boundary.generated-contract.applicability	enforcement-suite-projection	standards-recovery-routing	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:f2fc2401938cc2b4d8cc91c01adca197e747117240b1b303ebc7ae1aa07701a0	retain
profile.boundary.generated-contract.applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:cc630cc201adffbc9262d27d1737903c5632c51e78cf0b3e01c495385c91b2e3	profile.boundary.generated-contract.applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:cc630cc201adffbc9262d27d1737903c5632c51e78cf0b3e01c495385c91b2e3	retain
profile.boundary.generated-contract.applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:238728c1a0613d70066ea8aa4de72539c6c0c4d2c2875411411be17354f8e9cd	profile.boundary.generated-contract.applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:238728c1a0613d70066ea8aa4de72539c6c0c4d2c2875411411be17354f8e9cd	retain
profile.boundary.generated-contract.applicability	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:e28aadda20b6f288c8aeeb47935bed0b29dd7138a5f62e014c695ba854fbc3f4	profile.boundary.generated-contract.applicability	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:e28aadda20b6f288c8aeeb47935bed0b29dd7138a5f62e014c695ba854fbc3f4	retain
profile.boundary.generated-contract.applicability	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:a4dac1f06aeb25abb3c3ddc0cd7c304b8e5d9364fe9afddad2954b88d9c1044a	profile.boundary.generated-contract.applicability	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:a4dac1f06aeb25abb3c3ddc0cd7c304b8e5d9364fe9afddad2954b88d9c1044a	retain
profile.boundary.generated-contract.applicability	router-projection	evaluation/standards-effectiveness/router-projection.toml	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:601736ccca2714c4c0984b7cce6639dbeff51f5063b01b386c265704e4218232	profile.boundary.generated-contract.applicability	router-projection	evaluation/standards-effectiveness/router-projection.toml	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:601736ccca2714c4c0984b7cce6639dbeff51f5063b01b386c265704e4218232	retain
profile.boundary.generated-contract.applicability	router-projection	router	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:b1df1117265dd40fc172a3363aa7207c00ac3347362dabf9fb6412c35c2e3e45	profile.boundary.generated-contract.applicability	router-projection	router	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:b1df1117265dd40fc172a3363aa7207c00ac3347362dabf9fb6412c35c2e3e45	retain
profile.boundary.generated-contract.semantic-closure	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:fb6e97e0a52258ee3badcb737822c9b4d08cdf25e2ba4caf42fdfed55ea228e7	profile.boundary.generated-contract.semantic-closure	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:fb6e97e0a52258ee3badcb737822c9b4d08cdf25e2ba4caf42fdfed55ea228e7	retain
profile.boundary.generated-contract.semantic-closure	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:c8c60fa392e4900f3146eb518d9d9ec2dab7993dd552c5a5d1da8155758758dd	profile.boundary.generated-contract.semantic-closure	enforcement-suite-projection	generated-contract-semantic-conformance	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:c8c60fa392e4900f3146eb518d9d9ec2dab7993dd552c5a5d1da8155758758dd	retain
profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/declaration-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:556b8fe71a4d0e7d22303e9472e9bc620376b2908d0712f0d4cde9242111b68c	profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/declaration-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:556b8fe71a4d0e7d22303e9472e9bc620376b2908d0712f0d4cde9242111b68c	retain
profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:fa1ab31364227564a59364912a873f9eecba8de9bcbe10bee29b01daed4fc971	profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:fa1ab31364227564a59364912a873f9eecba8de9bcbe10bee29b01daed4fc971	retain
profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/version-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:ecab12ea46b2bc45df87ee53e45d3d0d329953c8117e9ae18296ccf573288d10	profile.boundary.generated-contract.semantic-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/version-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:ecab12ea46b2bc45df87ee53e45d3d0d329953c8117e9ae18296ccf573288d10	retain
					profile.boundary.generated-contract.semantic-closure	fixture-projection	tools/standards_engine/contracts/examples/a1-examples.json	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:9dc36e963ebac949993338e3bfd7699fa896bb0d0ab7f517c2f3866687e7ddf8	add
