case	modality	sequence	focus	visibility	lifecycle	capability	fallback	expected
selected_keyboard	keyboard	complete	owned	perceivable	complete	supported	none	allow
multiple_modalities	multiple	complete	owned	perceivable	complete	supported	none	allow
composite_lifecycle	selected	complete	owned	perceivable	complete	supported	none	allow
contradictory_sequence	selected	contradictory	owned	perceivable	complete	supported	none	typed-invalid
contradictory_focus	selected	complete	contradictory	perceivable	complete	supported	none	typed-invalid
unsupported_focus	selected	complete	owned	perceivable	complete	unsupported	none	typed-unsupported
missing_modality	missing	complete	owned	perceivable	complete	supported	none	typed-unavailable
missing_sequence	selected	missing	owned	perceivable	complete	supported	none	typed-unavailable
missing_visibility	selected	complete	owned	missing	complete	supported	none	typed-unavailable
missing_lifecycle	selected	complete	owned	perceivable	missing	supported	none	typed-unavailable
click_implies_keyboard	keyboard	missing	owned	perceivable	complete	supported	click-handler	typed-invalid
outline_removal	selected	complete	owned	hidden	complete	supported	visual-removal	typed-invalid
escape_default	selected	complete	owned	perceivable	missing	supported	escape-key	typed-invalid
focus_trap_default	selected	complete	owned	perceivable	missing	supported	focus-trap	typed-invalid
silent_focus_loss	selected	complete	missing	perceivable	missing	supported	silent-loss	typed-invalid
