legacy_edge_id	derived_edge_id	owner	consumer	relation	applicability	evidence_owner	disposition
policy.planning.router	policy-impact:v1/workflow.planning/router-projection/router	workflow.planning	router	router-projection	always	suite:concurrent-plan-integration	compile
policy.planning.implementation-entrypoint-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fimplementation%2Fplan-entrypoint-decisions.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	fixture-projection	always	suite:plan-implementation-entrypoint	compile
policy.planning.admission-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Fadmission-decisions.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	fixture-projection	always	suite:planning-admission	compile
policy.planning.concurrent-applicability-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Fconcurrent-integration-applicability.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	fixture-projection	always	suite:concurrent-plan-integration	compile
policy.planning.concurrent-outcomes-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Fconcurrent-integration-outcomes.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	fixture-projection	always	suite:concurrent-plan-integration	compile
policy.planning.consolidation-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Fconsolidation-decisions.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	fixture-projection	always	suite:planning-consolidation	compile
policy.planning.full-review-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Ffull-review-prompt-decisions.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	fixture-projection	always	suite:full-review-prompt-entrypoint	compile
policy.planning.template-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Ftemplate-projection-decisions.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	fixture-projection	always	suite:plan-template-projection	compile
policy.planning.proportionality-fixture	policy-impact:v1/workflow.planning/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fplanning%2Fwork-slice-proportionality.tsv	workflow.planning	evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	fixture-projection	always	suite:planning-admission	compile
policy.planning.concurrent-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/concurrent-plan-integration	workflow.planning	concurrent-plan-integration	enforcement-suite-projection	always	suite:concurrent-plan-integration	compile
