original_commit	replacement_commit	tree	subject
e742b0f4876915d3f9330333d23e03b8016e6229	2f6e1758d553b8ff0e1393c721af3d3378388734	d951491316bd0b5377061921522f103124edb313	docs(planning): admit Router projection verifier recovery
6020c151fa2395f07687933c56d56e62bbce7893	d538891299ab0518bab67db8956d22252fe24060	98377f5e28522eac249227f6cbc67f985934a942	docs(planning): admit Router projection verifier repair
cb6abdb89afaa4fca25706cd42f621a8c762480f	3c0225f3b769fb6af36444cf089c47a129e0bdb6	24328086a11f9370a615ff62254de9aa1d825931	docs(planning): start Router projection verifier repair
cbc53cfb06f9642506b17485c2dd389280aae2bc	fb9ca4a7e7209fbb17f96492d7c81a21680e9235	ac1d604e2fbd566761d90504a5f4e13003d6e0d6	docs(planning): replan policy-impact authority
6033b2d3911bc7aaebb6c050467b69e4374285e9	8d8e38cdb44d3cf0ed72785ecbd083407ae217f7	b771489234e9e9f0072b648a9af460a310f2b690	docs(planning): correct policy-impact admission
f18bef01cf109d8dc38241a1b88297c98095655d	1f0045a7360c3b6e1c2a6a8e3136508b22059ed8	dda284f6e82ea66ad11dbddc2d7584d6dfea1ece	docs(planning): derive exact current coverage
95e5a389b8328f57eadc11fe650c418049a87fd1	2263e4813c5c707e01bb168fa5675045371f54ec	83f502a19463616105cc7c272d0bb904ba946ac1	docs(review): admit policy-impact authority v2
fd9efe8198f787c9dd99255bf95e74d84b55baa2	32bd1af7d85f6c24ebf020eae2b0065f374007f6	9668c0b73c72e849311bddf6a83affcec9f82685	docs(planning): admit policy-impact authority v2
6e3f784353f44cf8566b493442ef2b722a622286	34a95b14d996febdf11f76ed1e4f637485f71836	79951ad72664962cfebc6b4a2cb11210f23be7ba	docs(planning): start policy-impact authority v2
2dd151525060505fbb4dbf45f06cf0358aa1c52d	a64dcc2861bc6944e75babb4c5e003fe9b13001b	935e2682568ab91cbe67d8ccc13e22e744ef2bd8	docs(planning): replan policy-impact fixture closure
a38e1c5da05e28cb876d57a4ca868ce9e65a4870	60d685ad9042270a7a8b5dd13d7805012d563f05	d34b95cb81a3279b30792d0c224bbc11a31a1681	docs(planning): close policy-impact replan admission scope
e84e8442ddb4cef766b6e7a64f84d068f466e154	00e3f2a18889556708aae15550853152170047a7	130da772e45faddb5a6c737c5cf9afe6073f57dc	docs(review): admit policy-impact fixture replan
ec0d7bc7abaf44e88ee99cb23c65962ba3c25a79	029ac2d287b7f1777de503e10a303e9fa13ed0f5	4b07fdb87c0e958eb321e114171d1ac68d8820dc	plan: admit policy-impact fixture recovery
67773d0f3341359d4fb8f0d3996ceceaafebb808	038bc3eadb7f7a90f8f79ae944cb93004f78deff	4b7ae0c5397279e1952b887277a077fa8e44035a	plan: start policy-impact fixture recovery
9dd2dd1c660de9efb75522ff21a44fe844398c4f	ea46c06ba565a9e072beb00344670bc517c429b4	fcf91257f00b1d9aeb8fdb3e70a2fad06db460ce	plan: admit applicability conformance consumer
1bb79e125a1362e1b666122efc78ce9a5599fe67	8ab196fdd9a8860afdedeb8a86e8b452a31a13d1	2e3bc506c53f68467923b129068a163635d668bf	docs(review): admit policy-impact public consumer replan
95cb97babff778497857e9e6be44ddc81e446564	e8dcf0b90a6694713d18ea2189a658438c1d397c	1d85875000ddbf75256a4ec85e12fffcf196e04f	plan: transition applicability consumer recovery
e9f054b9c7c592aed81944569862fbc3f93aa0a0	b69e7a920a18af3f2873cd6d789994eb6d99f222	4ef0899dd3d5868f9f7a86e430c74ff4890df183	plan: restart policy-impact public cutover
9bbc1e050a865131a41559b7b3a7ce96a9fb4f23	9bde8b967ef6961384d0526e17ec187e4bc9df8e	40d10d62031a8f12a5913c9704d289de53cd50a7	feat: compile policy-impact authority v2
e6d075b5fbc1558e69ff7aa3c6779d31b07142e8	11fddf4fd4978dd07849ea1f6c22af8d054348dd	650493a43a34de541ccc4906604219f3b0065e17	plan: freeze policy-impact authority for coverage
101001bd2373631b0474d214871ba11ad1b6e4ab	e2a73a3dd1e86c4d841ea5ea998f88d85f2af241	955e77e06c2477569da6a6f3f8263c602ca7533d	feat: certify policy-impact authority v2
d87b6e736ffb0779181e49fd2ed303af1a82b367	5be09556b20e313dcb7fcca1b44be049d13fb911	a50323f91cf2582c0bd1c1f091f81a51f90a7dfd	plan: recover policy-impact acceptance gaps
8e11a7d86ac09f8e926c8db5cf3ecc7e85e9f0e5	8a93ec6ebd48ecf641325c6e7571bf6d5f628ea5	41e91f9ebf2cf571717f1b34eb29ea4eaa42e693	plan: correct policy-impact recovery authority
