case	target	consumer	feature	dependency	evidence	capability	fallback	expected
accepted	accepted	accepted	accepted	accepted	accepted	supported	none	allow
missing_target	missing	accepted	accepted	accepted	accepted	supported	none	typed-unavailable
missing_consumer	accepted	missing	accepted	accepted	accepted	supported	none	typed-unavailable
missing_feature	accepted	accepted	missing	accepted	accepted	supported	none	typed-unavailable
missing_dependency	accepted	accepted	accepted	missing	accepted	supported	none	typed-unavailable
missing_evidence	accepted	accepted	accepted	accepted	missing	supported	none	typed-unavailable
contradictory	contradictory	accepted	accepted	accepted	accepted	supported	none	typed-invalid
unsupported	accepted	accepted	accepted	accepted	accepted	unsupported	none	typed-unsupported
embedded	accepted	accepted	accepted	accepted	accepted	supported	embedded	typed-invalid
library	accepted	accepted	accepted	accepted	accepted	supported	library	typed-invalid
std_default	accepted	accepted	accepted	accepted	accepted	supported	std-default	typed-invalid
feature_split	accepted	accepted	accepted	accepted	accepted	supported	feature-split	typed-invalid
dependency_default	accepted	accepted	accepted	accepted	accepted	supported	dependency-default	typed-invalid
host_test	accepted	accepted	accepted	accepted	accepted	supported	host-test	typed-invalid
compile_only	accepted	accepted	accepted	accepted	accepted	supported	compile-only	typed-invalid
nearby_target	accepted	accepted	accepted	accepted	accepted	supported	nearby-target	typed-invalid
