id	path	line	level	target_role	disposition	heading
STD-0001	README.md	1	1	router	replace	Standards Library
STD-0002	README.md	5	2	router	replace	Quick Start
STD-0003	README.md	14	2	router	replace	Documents
STD-0004	README.md	37	2	router	replace	Templates
STD-0005	README.md	50	2	router	replace	Customization
STD-0006	README.md	59	2	router	replace	License
STD-0007	ACCESSIBILITY-STANDARDS.md	1	1	topic	refine	Accessibility Standards
STD-0008	ACCESSIBILITY-STANDARDS.md	5	2	topic	refine	Core Principle: Use Semantic Elements
STD-0009	ACCESSIBILITY-STANDARDS.md	18	2	topic	refine	Interactive Elements
STD-0010	ACCESSIBILITY-STANDARDS.md	20	3	topic	refine	Use `<button>` for Actions
STD-0011	ACCESSIBILITY-STANDARDS.md	50	3	topic	refine	Use `<a>` Only for Navigation
STD-0012	ACCESSIBILITY-STANDARDS.md	68	3	topic	refine	When a Generic Element Must Be Interactive
STD-0013	ACCESSIBILITY-STANDARDS.md	93	2	topic	refine	Keyboard Navigation
STD-0014	ACCESSIBILITY-STANDARDS.md	95	3	topic	refine	All Interactive Elements Must Be Keyboard-Accessible
STD-0015	ACCESSIBILITY-STANDARDS.md	100	3	topic	refine	Focus Indicators
STD-0016	ACCESSIBILITY-STANDARDS.md	115	3	topic	refine	Dialog Focus Management
STD-0017	ACCESSIBILITY-STANDARDS.md	124	2	topic	refine	Labels and Names
STD-0018	ACCESSIBILITY-STANDARDS.md	126	3	topic	refine	Every Interactive Element Needs an Accessible Name
STD-0019	ACCESSIBILITY-STANDARDS.md	149	3	topic	refine	Form Inputs Need Labels
STD-0020	ACCESSIBILITY-STANDARDS.md	162	2	topic	refine	Images and Media
STD-0021	ACCESSIBILITY-STANDARDS.md	164	3	topic	refine	Decorative vs Informative Images
STD-0022	ACCESSIBILITY-STANDARDS.md	174	3	topic	refine	Icon Components
STD-0023	ACCESSIBILITY-STANDARDS.md	191	2	topic	refine	Linting Enforcement
STD-0024	ACCESSIBILITY-STANDARDS.md	193	3	topic	refine	Required ESLint Plugin
STD-0025	ACCESSIBILITY-STANDARDS.md	201	3	topic	refine	Recommended Rules
STD-0026	ACCESSIBILITY-STANDARDS.md	214	3	topic	refine	CI Gate
STD-0027	ARCHITECTURE-PATTERNS.md	1	1	mixed	split	Architecture Patterns
STD-0028	ARCHITECTURE-PATTERNS.md	5	2	mixed	split	Layered Separation of Concerns
STD-0029	ARCHITECTURE-PATTERNS.md	7	3	mixed	split	The Pattern
STD-0030	ARCHITECTURE-PATTERNS.md	23	3	mixed	split	Layer Responsibilities
STD-0031	ARCHITECTURE-PATTERNS.md	32	3	mixed	split	Dependency Rule
STD-0032	ARCHITECTURE-PATTERNS.md	44	3	mixed	split	Benefits
STD-0033	ARCHITECTURE-PATTERNS.md	50	3	mixed	split	Layering Is Not Simplicity By Itself
STD-0034	ARCHITECTURE-PATTERNS.md	63	2	mixed	split	Monorepo Package Roles
STD-0035	ARCHITECTURE-PATTERNS.md	65	3	mixed	split	The Pattern
STD-0036	ARCHITECTURE-PATTERNS.md	74	3	mixed	split	Common Roles
STD-0037	ARCHITECTURE-PATTERNS.md	87	3	mixed	split	Dependency Direction
STD-0038	ARCHITECTURE-PATTERNS.md	110	3	mixed	split	Why This Helps
STD-0039	ARCHITECTURE-PATTERNS.md	117	3	mixed	split	Example Decision
STD-0040	ARCHITECTURE-PATTERNS.md	125	2	mixed	split	Backend-Owned Data
STD-0041	ARCHITECTURE-PATTERNS.md	127	3	mixed	split	The Pattern
STD-0042	ARCHITECTURE-PATTERNS.md	139	3	mixed	split	Rules
STD-0043	ARCHITECTURE-PATTERNS.md	154	3	mixed	split	Data Flow
STD-0044	ARCHITECTURE-PATTERNS.md	163	3	mixed	split	No Optimistic Updates for Backend-Owned Data
STD-0045	ARCHITECTURE-PATTERNS.md	194	3	mixed	split	Benefits
STD-0046	ARCHITECTURE-PATTERNS.md	202	2	mixed	split	Immutable Contracts
STD-0047	ARCHITECTURE-PATTERNS.md	204	3	mixed	split	The Pattern
STD-0048	ARCHITECTURE-PATTERNS.md	216	3	mixed	split	Contract Rules
STD-0049	ARCHITECTURE-PATTERNS.md	223	3	mixed	split	Example Contract
STD-0050	ARCHITECTURE-PATTERNS.md	242	3	mixed	split	Benefits
STD-0051	ARCHITECTURE-PATTERNS.md	250	2	mixed	split	Executable Boundary Contracts
STD-0052	ARCHITECTURE-PATTERNS.md	252	3	mixed	split	The Pattern
STD-0053	ARCHITECTURE-PATTERNS.md	267	3	mixed	split	Plain Types vs Executable Contracts
STD-0054	ARCHITECTURE-PATTERNS.md	280	3	mixed	split	Contract Requirements
STD-0055	ARCHITECTURE-PATTERNS.md	311	3	mixed	split	Packaging Guidance
STD-0056	ARCHITECTURE-PATTERNS.md	320	3	mixed	split	Contract Cost Test
STD-0057	ARCHITECTURE-PATTERNS.md	339	3	mixed	split	Benefits
STD-0058	ARCHITECTURE-PATTERNS.md	347	2	mixed	split	Structured Producer-Consumer Contracts
STD-0059	ARCHITECTURE-PATTERNS.md	349	3	mixed	split	The Pattern
STD-0060	ARCHITECTURE-PATTERNS.md	359	3	mixed	split	Contract Semantics to Preserve
STD-0061	ARCHITECTURE-PATTERNS.md	369	3	mixed	split	Consumer Responsibilities
STD-0062	ARCHITECTURE-PATTERNS.md	383	3	mixed	split	Benefits
STD-0063	ARCHITECTURE-PATTERNS.md	391	2	mixed	split	IPC/Message Contract Pattern
STD-0064	ARCHITECTURE-PATTERNS.md	393	3	mixed	split	The Pattern
STD-0065	ARCHITECTURE-PATTERNS.md	404	3	mixed	split	Message Structure
STD-0066	ARCHITECTURE-PATTERNS.md	425	3	mixed	split	Message Categories
STD-0067	ARCHITECTURE-PATTERNS.md	434	3	mixed	split	Example Implementation
STD-0068	ARCHITECTURE-PATTERNS.md	461	3	mixed	split	Benefits
STD-0069	ARCHITECTURE-PATTERNS.md	469	2	mixed	split	Composition Root Pattern
STD-0070	ARCHITECTURE-PATTERNS.md	471	3	mixed	split	The Pattern
STD-0071	ARCHITECTURE-PATTERNS.md	487	3	mixed	split	Roles
STD-0072	ARCHITECTURE-PATTERNS.md	495	3	mixed	split	Rules
STD-0073	ARCHITECTURE-PATTERNS.md	523	3	mixed	split	Benefits
STD-0074	ARCHITECTURE-PATTERNS.md	531	2	mixed	split	Realtime Workflow Systems
STD-0075	ARCHITECTURE-PATTERNS.md	533	3	mixed	split	The Pattern
STD-0076	ARCHITECTURE-PATTERNS.md	542	3	mixed	split	Workflow Shape
STD-0077	ARCHITECTURE-PATTERNS.md	553	3	mixed	split	Rules
STD-0078	ARCHITECTURE-PATTERNS.md	568	3	mixed	split	Typical Components
STD-0079	ARCHITECTURE-PATTERNS.md	578	3	mixed	split	Benefits
STD-0080	ARCHITECTURE-PATTERNS.md	585	3	mixed	split	Verification Note
STD-0081	ARCHITECTURE-PATTERNS.md	595	2	mixed	split	View Model Pattern
STD-0082	ARCHITECTURE-PATTERNS.md	597	3	mixed	split	The Pattern
STD-0083	ARCHITECTURE-PATTERNS.md	608	3	mixed	split	Responsibilities
STD-0084	ARCHITECTURE-PATTERNS.md	616	3	mixed	split	View Model Rules
STD-0085	ARCHITECTURE-PATTERNS.md	626	3	mixed	split	Example
STD-0086	ARCHITECTURE-PATTERNS.md	659	3	mixed	split	Benefits
STD-0087	ARCHITECTURE-PATTERNS.md	667	2	mixed	split	Directory Structure Template
STD-0088	ARCHITECTURE-PATTERNS.md	709	3	mixed	split	Directory README Requirement
STD-0089	ARCHITECTURE-PATTERNS.md	729	2	mixed	split	Activity Tracing Pattern
STD-0090	ARCHITECTURE-PATTERNS.md	731	3	mixed	split	The Pattern
STD-0091	ARCHITECTURE-PATTERNS.md	743	3	mixed	split	Implementation
STD-0092	ARCHITECTURE-PATTERNS.md	776	3	mixed	split	Benefits
STD-0093	ARCHITECTURE-PATTERNS.md	784	2	mixed	split	Process Instance Coordination
STD-0094	ARCHITECTURE-PATTERNS.md	786	3	mixed	split	The Pattern
STD-0095	ARCHITECTURE-PATTERNS.md	810	3	mixed	split	PID File Rules
STD-0096	ARCHITECTURE-PATTERNS.md	820	3	mixed	split	PID File Contents
STD-0097	ARCHITECTURE-PATTERNS.md	832	3	mixed	split	Handling PID Reuse
STD-0098	ARCHITECTURE-PATTERNS.md	859	3	mixed	split	Stale PID File Cleanup
STD-0099	ARCHITECTURE-PATTERNS.md	867	2	mixed	split	Discover-or-Create Pattern
STD-0100	ARCHITECTURE-PATTERNS.md	869	3	mixed	split	The Pattern
STD-0101	ARCHITECTURE-PATTERNS.md	881	3	mixed	split	Instance Convergence Flow
STD-0102	ARCHITECTURE-PATTERNS.md	903	3	mixed	split	Rules
STD-0103	ARCHITECTURE-PATTERNS.md	913	3	mixed	split	Ownership Models
STD-0104	ARCHITECTURE-PATTERNS.md	921	3	mixed	split	Example
STD-0105	ARCHITECTURE-PATTERNS.md	940	3	mixed	split	Benefits
STD-0106	ARCHITECTURE-PATTERNS.md	948	2	mixed	split	Phased Mutation Pattern
STD-0107	ARCHITECTURE-PATTERNS.md	950	3	mixed	split	The Pattern
STD-0108	ARCHITECTURE-PATTERNS.md	965	3	mixed	split	Phase Responsibilities
STD-0109	ARCHITECTURE-PATTERNS.md	976	3	mixed	split	Benefits
STD-0110	ARCHITECTURE-PATTERNS.md	984	3	mixed	split	When to Use
STD-0111	ARCHITECTURE-PATTERNS.md	994	3	mixed	split	Anti-Pattern: Interleaved Mutation
STD-0112	ARCHITECTURE-PATTERNS.md	1006	3	mixed	split	Implementation Tips
STD-0113	ARCHITECTURE-PATTERNS.md	1019	2	mixed	split	Schema Versioning and Migration
STD-0114	ARCHITECTURE-PATTERNS.md	1021	3	mixed	split	The Pattern
STD-0115	ARCHITECTURE-PATTERNS.md	1028	3	mixed	split	Migration Rules
STD-0116	ARCHITECTURE-PATTERNS.md	1038	3	mixed	split	Migration File Structure
STD-0117	ARCHITECTURE-PATTERNS.md	1052	3	mixed	split	Schema Version Tracking
STD-0118	ARCHITECTURE-PATTERNS.md	1076	3	mixed	split	Forward/Backward Compatibility
STD-0119	ARCHITECTURE-PATTERNS.md	1093	2	mixed	split	Infrastructure Failure Recovery
STD-0120	ARCHITECTURE-PATTERNS.md	1095	3	mixed	split	The Pattern
STD-0121	ARCHITECTURE-PATTERNS.md	1105	3	mixed	split	Failure Categories
STD-0122	ARCHITECTURE-PATTERNS.md	1114	3	mixed	split	Decision Flow
STD-0123	ARCHITECTURE-PATTERNS.md	1132	3	mixed	split	Startup Resilience
STD-0124	ARCHITECTURE-PATTERNS.md	1148	3	mixed	split	Best-Effort Service Pattern
STD-0125	ARCHITECTURE-PATTERNS.md	1169	3	mixed	split	Benefits
STD-0126	ARCHITECTURE-PATTERNS.md	1178	2	mixed	split	HTTP API Error Convention
STD-0127	ARCHITECTURE-PATTERNS.md	1180	3	mixed	split	The Pattern
STD-0128	ARCHITECTURE-PATTERNS.md	1186	3	mixed	split	Error Response Format
STD-0129	ARCHITECTURE-PATTERNS.md	1194	3	mixed	split	Status Code Usage
STD-0130	ARCHITECTURE-PATTERNS.md	1205	3	mixed	split	Server Implementation
STD-0131	ARCHITECTURE-PATTERNS.md	1222	3	mixed	split	Client Implementation
STD-0132	ARCHITECTURE-PATTERNS.md	1228	3	mixed	split	Anti-Pattern: Status 200 with Error Body
STD-0133	ARCHITECTURE-PATTERNS.md	1245	3	mixed	split	Benefits
STD-0134	ARCHITECTURE-PATTERNS.md	1253	2	mixed	split	Choosing Patterns
STD-0135	CODING-STANDARDS.md	1	1	core	split	Coding Standards
STD-0136	CODING-STANDARDS.md	5	2	core	split	Simplicity Principle
STD-0137	CODING-STANDARDS.md	18	2	core	split	File Organization
STD-0138	CODING-STANDARDS.md	20	3	core	split	Simple vs. Complected Organization
STD-0139	CODING-STANDARDS.md	48	3	core	split	Directory Structure
STD-0140	CODING-STANDARDS.md	59	2	core	split	Layered Architecture
STD-0141	CODING-STANDARDS.md	77	3	core	split	Layer Rules
STD-0142	CODING-STANDARDS.md	87	3	core	split	Why Layering Matters
STD-0143	CODING-STANDARDS.md	93	2	core	split	Separation of Concerns
STD-0144	CODING-STANDARDS.md	95	3	core	split	Backend-Owned Data Principle
STD-0145	CODING-STANDARDS.md	122	3	core	split	Service Independence
STD-0146	CODING-STANDARDS.md	144	3	core	split	Composition Root for Runtime Wiring
STD-0147	CODING-STANDARDS.md	156	3	core	split	Single Owner for Stateful Flows
