case	targets	target_contract	rust_target	artifact_claim	mechanism	mechanism_basis	mechanism_owner	precedence	boundary	cfg_placement	evidence	environment	fallback	expected
single-cfg-module	single	declared	selected	compile	cfg	declared	explicit	not-applicable	cohesive	module	matched	toolchain	none	allow
multiple-build-selected	multiple	declared	selected	link	build-script	declared	explicit	not-applicable	cohesive	build-selected	matched	toolchain	none	allow
feature-package-selection	multiple	declared	selected	package	feature	declared	explicit	not-applicable	cohesive	module	matched	toolchain	none	allow
composition-integration	multiple	declared	selected	integration	composition	declared	explicit	not-applicable	cohesive	not-applicable	matched	real-target	none	allow
dispatch-runtime	multiple	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	matched	real-target	none	allow
cohesive-inline-cfg	single	declared	selected	compile	cfg	declared	explicit	not-applicable	cohesive	inline	matched	toolchain	none	allow
declared-simulator-evidence	single	declared	selected	integration	composition	declared	explicit	not-applicable	cohesive	not-applicable	matched	declared-simulator	none	allow
combined-explicit-selection	multiple	declared	selected	package	combined	declared	explicit	explicit	cohesive	build-selected	matched	toolchain	none	allow
unsupported-target	single	declared	unsupported	compile	cfg	declared	explicit	not-applicable	cohesive	module	matched	toolchain	none	typed-unsupported
missing-target-contract	single	missing	unknown	unknown	unknown	missing	missing	missing	missing	not-applicable	missing	unknown	none	typed-unavailable
unknown-target	multiple	declared	unknown	compile	cfg	declared	explicit	not-applicable	cohesive	module	missing	unknown	none	typed-unavailable
unknown-artifact-claim	single	declared	selected	unknown	cfg	declared	explicit	not-applicable	cohesive	module	missing	toolchain	none	typed-unavailable
unknown-mechanism	single	declared	selected	compile	unknown	missing	missing	missing	missing	not-applicable	missing	toolchain	none	typed-unavailable
missing-mechanism-owner	single	declared	selected	compile	cfg	declared	missing	not-applicable	cohesive	module	matched	toolchain	none	typed-unavailable
missing-evidence	single	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	missing	real-target	none	typed-unavailable
unknown-environment	single	declared	selected	compile	cfg	declared	explicit	not-applicable	cohesive	module	matched	unknown	none	typed-unavailable
contradictory-target-contract	multiple	contradictory	selected	compile	cfg	declared	explicit	not-applicable	cohesive	module	matched	toolchain	none	typed-invalid
default-target-list	default	declared	fixed-default	compile	cfg	declared	explicit	not-applicable	cohesive	module	matched	toolchain	default-triples	typed-invalid
best-effort-support	single	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	missing	unknown	best-effort	typed-invalid
universal-trait-layout	single	declared	selected	compile	cfg	declared	explicit	not-applicable	universal-trait	module	matched	toolchain	universal-layout	typed-invalid
universal-module-layout	single	declared	selected	compile	cfg	declared	explicit	not-applicable	universal-module	module	matched	toolchain	universal-layout	typed-invalid
domain-inline-target-code	single	declared	selected	compile	cfg	declared	explicit	not-applicable	domain-inline	inline	matched	toolchain	none	typed-invalid
numeric-cfg-threshold	single	declared	selected	compile	cfg	declared	explicit	not-applicable	cohesive	numeric-threshold	matched	toolchain	numeric-threshold	typed-invalid
fixed-tool-fallback	single	declared	selected	link	build-script	declared	explicit	not-applicable	cohesive	build-selected	missing	substitute-tool	named-tool	typed-invalid
simulated-runtime-substitute	single	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	simulated	substitute-tool	simulated-substitute	typed-invalid
alternate-target-fallback	single	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	missing	unknown	alternate-target	typed-invalid
compile-only-for-runtime	single	declared	selected	runtime	dispatch	declared	explicit	not-applicable	cohesive	not-applicable	compile-only	toolchain	weaker-evidence	typed-invalid
feature-as-target-substitute	single	declared	selected	compile	feature	target-substitute	explicit	not-applicable	cohesive	module	matched	toolchain	none	typed-invalid
unjustified-build-script	single	declared	selected	compile	build-script	unjustified	explicit	not-applicable	cohesive	build-selected	matched	toolchain	none	typed-invalid
ambiguous-combined-precedence	multiple	declared	selected	package	combined	declared	explicit	ambiguous	cohesive	build-selected	matched	toolchain	none	typed-invalid
