case	claim	scope	mechanism	environment	evidence	tooling	fallback	expected
automated_claim	declared	complete	selected	representative	proved	selected	none	allow
manual_claim	declared	complete	selected	representative	proved	not-required	none	allow
combined_claim	declared	complete	multiple	representative	proved	selected	none	allow
contradictory_claim	contradictory	complete	selected	representative	proved	selected	none	typed-invalid
unsupported_mechanism	declared	complete	unsupported	representative	missing	selected	none	typed-unsupported
missing_claim	missing	complete	selected	representative	proved	selected	none	typed-unavailable
missing_scope	declared	missing	selected	representative	proved	selected	none	typed-unavailable
missing_environment	declared	complete	selected	missing	proved	selected	none	typed-unavailable
missing_evidence	declared	complete	selected	representative	missing	selected	none	typed-unavailable
eslint_default	declared	complete	selected	representative	proved	selected	eslint	typed-invalid
named_rules	declared	complete	selected	representative	proved	selected	named-rules	typed-invalid
ci_default	declared	complete	selected	representative	proved	selected	ci-only	typed-invalid
lint_as_proof	declared	complete	lint	representative	lint-only	selected	lint-proof	typed-invalid
