case	concerns	owners	lifecycle	deployment	contracts	fallback	expected
coherent_module	one	clear	clear	same	complete	none	keep-together
independent_modules	multiple	clear	clear	same	complete	none	separate
service_boundary	multiple	clear	independent	independent	complete	none	separate
composition_root	multiple	clear	long-lived	same	complete	none	compose
contradictory_owner	multiple	contradictory	clear	same	complete	none	typed-invalid
missing_owner	multiple	missing	clear	same	complete	none	typed-unavailable
missing_contract	multiple	clear	clear	same	missing	none	typed-unavailable
unsupported_deployment	multiple	clear	clear	unsupported	complete	none	typed-unsupported
fixed_layers	multiple	clear	clear	same	complete	fixed-layers	typed-invalid
directory_default	multiple	clear	clear	same	complete	directory	typed-invalid
backend_default	multiple	clear	clear	same	complete	backend	typed-invalid
framework_default	multiple	clear	clear	same	complete	framework	typed-invalid
global_state	multiple	clear	long-lived	same	complete	global	typed-invalid
smallest_diff	multiple	clear	clear	same	complete	incumbent	typed-invalid
