owner	consumer	relation	applicability	evidence_owner
workflow.planning	STANDARDS-ROUTER.md	router-projection	Router projects written-plan and Concurrent Plan Integration applicability and exclusions.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	fixture-projection	Fixture records implementation-entrypoint consumption of explicit written-plan admission.	suite:plan-implementation-entrypoint
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	fixture-projection	Fixture records ordinary written-plan admission, operation, lifecycle, and fallback outcomes.	suite:planning-admission
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	fixture-projection	Fixture records conditional Concurrent Plan Integration routing decisions.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	fixture-projection	Fixture records stale-state, compatibility, reconciliation, and no-fallback outcomes when the profile applies.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	fixture-projection	Fixture records Planning ownership, bounded state, acceptance, and process-fallback decisions.	suite:planning-consolidation
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	fixture-projection	Fixture records the analysis-only full-review prompt's Router and Planning delegation decisions.	suite:full-review-prompt-entrypoint
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	fixture-projection	Fixture records required and conditional plan-template projections.	suite:plan-template-projection
workflow.planning	evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	fixture-projection	Fixture records written-plan, slice, artifact-update, and conditional concurrent-profile proportionality decisions.	suite:planning-admission
workflow.planning	evaluation/standards-effectiveness/suites/concurrent-plan-integration.toml	enforcement-suite-projection	Suite enforces conditional concurrent-profile routing and stale-state protections.	suite:concurrent-plan-integration
workflow.planning	evaluation/standards-effectiveness/suites/full-review-prompt-entrypoint.toml	enforcement-suite-projection	Suite enforces the analysis-only full-review prompt's Planning delegation.	suite:full-review-prompt-entrypoint
workflow.planning	evaluation/standards-effectiveness/suites/plan-implementation-entrypoint.toml	enforcement-suite-projection	Suite enforces the written-plan implementation entrypoint projection.	suite:plan-implementation-entrypoint
workflow.planning	evaluation/standards-effectiveness/suites/plan-template-projection.toml	enforcement-suite-projection	Suite enforces the Planning-derived template projection.	suite:plan-template-projection
workflow.planning	evaluation/standards-effectiveness/suites/planning-admission.toml	enforcement-suite-projection	Suite enforces ordinary Planning admission and implementation consumption.	suite:planning-admission
workflow.planning	evaluation/standards-effectiveness/suites/planning-consolidation.toml	enforcement-suite-projection	Suite enforces canonical Planning ownership and process decisions.	suite:planning-consolidation
workflow.planning	evaluation/standards-effectiveness/suites/policy-semantic-impact.toml	enforcement-suite-projection	Suite enforces the reviewed Planning semantic-impact structure and negative contracts.	suite:policy-semantic-impact
workflow.planning	evaluation/standards-effectiveness/suites/s1-routing.toml	enforcement-suite-projection	Suite enforces ordinary bounded routing without unnecessary Planning or concurrent-profile selection.	suite:s1-routing
workflow.planning	profiles/workflows/concurrent-plan-integration.md	normative-consumer	The profile specializes stale-capable proposal integration while Planning retains lifecycle and artifact ownership.	suite:concurrent-plan-integration
workflow.planning	prompts/full-codebase-standards-refactor.md	prompt-projection	The full-codebase review entrypoint delegates analysis-only plan construction to Planning.	suite:full-review-prompt-entrypoint
workflow.planning	prompts/implement-plan.md	prompt-projection	The implementation entrypoint projects written-plan admission and conditional concurrent-profile selection.	suite:plan-implementation-entrypoint
workflow.planning	prompts/planning.md	prompt-projection	The planning entrypoint projects Planning scope, milestone, write-set, and re-plan decisions.	suite:planning-consolidation
workflow.planning	templates/PLAN-TEMPLATE.md	template-projection	The plan template projects current Planning artifact fields and conditional concurrency records.	suite:plan-template-projection
workflow.planning	workflows/commit.md	normative-consumer	Commit consumes Planning artifact-update boundaries when an active plan governs the work.	suite:planning-consolidation
workflow.planning	workflows/implementation.md	normative-consumer	Implementation consumes written-plan admission, operation, lifecycle, current authority, and acceptance decisions.	suite:planning-admission
