case	claim	environment	mode	capabilities	lifecycle	assertions	fallback	expected
declared_gui_smoke	release-artifact	representative	automated	complete	bounded	passed	none	allow
required_real_gui	release-artifact	required-real	manual	complete	bounded	passed	none	allow
missing_claim	missing	representative	automated	complete	bounded	passed	none	typed-unavailable
missing_environment	release-artifact	missing	automated	complete	bounded	passed	none	typed-unavailable
contradictory_environment	release-artifact	contradictory	automated	complete	bounded	passed	none	typed-invalid
missing_gui_capability	release-artifact	representative	automated	missing	bounded	passed	none	acceptance-blocked
premature_exit	release-artifact	representative	automated	complete	premature	passed	none	acceptance-blocked
failed_assertion	release-artifact	representative	automated	complete	bounded	failed	none	acceptance-blocked
fixed_xvfb	release-artifact	representative	automated	complete	bounded	passed	fixed-display	typed-invalid
weaken_interactive	release-artifact	representative	automated	complete	bounded	passed	weaken-runtime	typed-invalid
ambient_desktop	release-artifact	representative	automated	complete	bounded	passed	host-session	typed-invalid
startup_as_workflow	user-workflow	representative	automated	complete	bounded	startup-only	upgrade-evidence	typed-invalid
alternate_environment	release-artifact	missing	automated	missing	bounded	passed	alternate-environment	typed-invalid
default_success	release-artifact	representative	automated	complete	bounded	failed	default-success	typed-invalid
