case	scope	annotation	framework_dependency	host_behavior	dependency_direction	generated_state	core_verification	capability	fallback	expected
plain_domain_core	core	none	absent	absent	none	not-applicable	pass	not-required	none	allow
independent_core_annotation	core	independent	absent	absent	none	not-applicable	pass	not-required	none	allow
framework_coupled_annotation	core	coupled	present	absent	none	not-applicable	pass	not-required	none	typed-invalid
core_binding_dependency	core	none	present	absent	none	not-applicable	pass	not-required	none	typed-invalid
core_host_behavior	core	none	absent	present	none	not-applicable	pass	not-required	none	typed-invalid
core_reverse_dependency	core	none	absent	absent	core-to-adapter	not-applicable	pass	not-required	none	typed-invalid
missing_core_verification	core	none	absent	absent	none	not-applicable	missing	not-required	none	typed-invalid
adapter_scoped_dependency	adapter	none	present	present	adapter-to-core	not-applicable	not-applicable	available	none	allow
adapter_missing_capability	adapter	none	present	present	adapter-to-core	not-applicable	not-applicable	unavailable	none	typed-unavailable
adapter_reverse_dependency	adapter	none	present	present	core-to-adapter	not-applicable	not-applicable	available	none	typed-invalid
generated_host_output	generated	none	absent	present	generated-to-adapter	generated	not-applicable	available	none	allow
hand_edited_generated_output	generated	none	absent	present	generated-to-adapter	hand-edited	not-applicable	available	none	typed-invalid
merge_layers_fallback	adapter	none	present	present	adapter-to-core	not-applicable	not-applicable	unavailable	merge-layers	typed-invalid
skip_core_test_fallback	core	none	absent	absent	none	not-applicable	missing	not-required	skip-core-test	typed-invalid
alternate_framework_fallback	adapter	none	present	present	adapter-to-core	not-applicable	not-applicable	unavailable	alternate-framework	typed-invalid
