case	scope	project	runtime	rule	purpose	compatibility	evidence	fallback	expected
selected_disable	selected	present	automatic	selected	inapplicable	supported	complete	none	allow
selected_enable	selected	present	classic	selected	applicable	supported	complete	none	allow
selected_non_react	selected	present	none	selected	applicable	supported	complete	none	allow
not_applicable	unselected	missing	missing	missing	missing	missing	missing	none	allow
missing_project	selected	missing	automatic	selected	inapplicable	supported	complete	none	typed-unavailable
missing_runtime	selected	present	missing	selected	inapplicable	supported	complete	none	typed-unavailable
missing_rule	selected	present	automatic	missing	inapplicable	supported	complete	none	typed-unavailable
missing_purpose	selected	present	automatic	selected	missing	supported	complete	none	typed-unavailable
missing_evidence	selected	present	automatic	selected	inapplicable	supported	missing	none	typed-unavailable
unsupported_toolchain	selected	present	automatic	selected	inapplicable	unsupported	complete	none	typed-unsupported
contradictory_configuration	selected	present	automatic	contradictory	inapplicable	supported	complete	none	typed-invalid
react_version_default	selected	present	automatic	selected	inapplicable	supported	complete	react-version	typed-invalid
disable_both_default	selected	present	automatic	selected	inapplicable	supported	complete	disable-both	typed-invalid
copied_configuration	selected	present	automatic	selected	inapplicable	supported	complete	copied-config	typed-invalid
preset_default	selected	present	automatic	selected	inapplicable	supported	complete	preset	typed-invalid
severity_default	selected	present	automatic	selected	inapplicable	supported	complete	severity	typed-invalid
parser_default	selected	present	automatic	selected	inapplicable	supported	complete	parser	typed-invalid
plugin_default	selected	present	automatic	selected	inapplicable	supported	complete	plugin	typed-invalid
frontend_ownership	selected	present	automatic	selected	inapplicable	supported	complete	frontend-owner	typed-invalid
compiler_pass_substitute	selected	present	automatic	selected	inapplicable	supported	complete	compiler-pass	typed-invalid
