case	authority	projection	synchronization	interaction	evidence	fallback	expected
declarative_projection	owned	declarative	event	complete	proved	none	allow
imperative_canvas	owned	imperative	event	complete	real-browser	none	allow
pull_boundary_polling	owned	declarative	pull	complete	proved	none	allow
component_state_test	owned	declarative	event	complete	component	none	allow
geometry_browser_test	owned	imperative	event	complete	real-browser	none	allow
contradictory_authority	contradictory	declarative	event	complete	proved	none	typed-invalid
ambiguous_action	owned	declarative	event	ambiguous	proved	none	typed-invalid
inaccessible_interaction	owned	declarative	event	inaccessible	proved	none	typed-invalid
unsupported_capability	owned	declarative	event	unsupported	proved	none	typed-unsupported
missing_authority	missing	declarative	event	complete	proved	none	typed-unavailable
missing_evidence	owned	declarative	event	complete	missing	none	typed-unavailable
dom_as_authority	owned	imperative	event	complete	proved	dom-authority	typed-invalid
copied_backend_rule	owned	declarative	event	complete	proved	copied-domain	typed-invalid
global_timer	owned	declarative	polling	complete	proved	global-polling	typed-invalid
pointer_only	owned	declarative	event	complete	proved	pointer-only	typed-invalid
visual_snapshot_proof	owned	declarative	event	complete	snapshot	snapshot-proof	typed-invalid
stale_content_success	owned	declarative	event	complete	proved	stale-success	typed-invalid
