change_id	action	policy_unit	module	heading	current_revision	planned_revision	family	rationale
N1-C	add	core.simplicity-and-complection	core	Simplicity And Ownership / Simple, Easy, And Complection	-	2	N1	Make the new nested Core definitions a first-class graph owner without absorbing Architecture's composed-design admission or pre-existing Simplicity And Ownership prose.
N1-A	add	topic.architecture.composed-design-admission	topic.architecture	Composed Design Admission	-	1	N1	Own artifact, post-boundary composition, representative-change, Depth, Locality, cumulative machinery, and deletion admission.
N2-V	revise	workflow.verification.acceptance-claims	workflow.verification	Acceptance Is A Set Of Claims	1	2	N2	Deepen the existing owner with permanent-evidence marginal value, overlap, lifecycle cost, exact-byte purpose, and retention/removal triggers without prescribing adopter enforcement tooling.
N3-P	add	topic.contracts.validation-proof-lifetime	topic.contracts	Validation Proof Lifetime	-	1	N3	Register the existing sufficient proof-lifetime owner without redundant normative wording; inspect repeated validation as an application question.
N3-I	add	topic.contracts.invariant-contracts	topic.contracts	Invariant Contracts	-	1	N3	Narrow the current universal failure-mechanism prohibition by distinguishing contained programming defects from arbitrary input, escaping invalid state, and authoritative-state corruption.
N4-A	revise	topic.architecture.immutable-authority-closure	topic.architecture	Immutable Authority Closure	1	2	N4	Scale semantic closure to the actual supported lifetime and reconstruction promise without requiring separate identity, codec, handle, version, ordinal, and lifecycle objects.
N4-C	revise	topic.contracts.version-scope-and-invalidation	topic.contracts	Version Scope And Invalidation	1	2	N4	Separate format, identity, compatibility, migration, and ordinal roles; admit matrices only for actual supported consumer combinations and cumulative obligations.
N5-D	revise	topic.dependencies.implementation-versus-dependency	topic.dependencies	Implementation Versus Dependency	1	2	N5	Compare established tooling when standardized semantics would be reimplemented; preserve thin adapters and domain-specific products, and apply the decision at creation, material extension, or renewal rather than as automatic retroactive deletion.
N1-P	revise	workflow.planning.active-plan-fields	workflow.planning	Required Active-Plan Fields	1	2	N1	Require composed-design applicability and applicable review content in written plans.
N1-R	revise	workflow.planning.replanning	workflow.planning	Re-Planning	1	2	N1	Re-run composed-design admission when replacement or accumulation changes the artifact.
N5-P	revise	workflow.planning.systemic-finding-replan	workflow.planning	Systemic-Finding Re-Planning	1	2	N5	Expand for a new semantic consumer, owner, risk, or promise; stop at the dispositioned owner/reachable population and admit deletion, smaller Interfaces, proof substitution, and composition comparison as repairs.
P1-P	retain	workflow.planning.projection-completeness	workflow.planning	Policy Projection Completeness	1	1	P1	Retain the project-agnostic rule; the prototype supports a separate Coding Standards Python implementation review, not a normative revision with an excluded known consumer.
