node_id	repository_path	artifact_kind	authority	disposition
prompts/full-codebase-standards-refactor.md	prompts/full-codebase-standards-refactor.md	prompt	projection	add-explicit-kind
prompts/implement-plan.md	prompts/implement-plan.md	prompt	projection	add-explicit-kind
prompts/planning.md	prompts/planning.md	prompt	projection	add-explicit-kind
templates/PLAN-TEMPLATE.md	templates/PLAN-TEMPLATE.md	template	projection	add-explicit-kind
evaluation/standards-effectiveness/fixtures/commit/authority.tsv	evaluation/standards-effectiveness/fixtures/commit/authority.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/commit/hook-bypass.tsv	evaluation/standards-effectiveness/fixtures/commit/hook-bypass.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/commit/branch-lifecycle.tsv	evaluation/standards-effectiveness/fixtures/commit/branch-lifecycle.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/commit/task-worktree-terminal.tsv	evaluation/standards-effectiveness/fixtures/commit/task-worktree-terminal.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/README.md	evaluation/standards-effectiveness/README.md	documentation	projection	add-explicit-kind
evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	evaluation/standards-effectiveness/fixtures/implementation/plan-entrypoint-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	evaluation/standards-effectiveness/fixtures/planning/admission-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-applicability.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	evaluation/standards-effectiveness/fixtures/planning/concurrent-integration-outcomes.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	evaluation/standards-effectiveness/fixtures/planning/consolidation-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	evaluation/standards-effectiveness/fixtures/planning/full-review-prompt-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	evaluation/standards-effectiveness/fixtures/planning/template-projection-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	evaluation/standards-effectiveness/fixtures/planning/work-slice-proportionality.tsv	fixture	evidence	add-explicit-kind
concurrent-plan-integration	evaluation/standards-effectiveness/suites/concurrent-plan-integration.toml	enforcement-suite	evidence	add-explicit-kind
full-review-prompt-entrypoint	evaluation/standards-effectiveness/suites/full-review-prompt-entrypoint.toml	enforcement-suite	evidence	add-explicit-kind
plan-implementation-entrypoint	evaluation/standards-effectiveness/suites/plan-implementation-entrypoint.toml	enforcement-suite	evidence	add-explicit-kind
plan-template-projection	evaluation/standards-effectiveness/suites/plan-template-projection.toml	enforcement-suite	evidence	add-explicit-kind
