subject_kind	subject	path	disposition	current_consumer	post_zero_consumer	terminal_trigger	evidence_owner	rationale
module	standards_verifier.inventory	tools/standards_verifier/standards_verifier/inventory.py	delete	retained-bash inventory, graph, numeric lifecycle, and checkpoint	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Its entire owned concern disappears when no Bash verifier or helper remains.
module	standards_verifier.migration_graph	tools/standards_verifier/standards_verifier/migration_graph.py	delete	frozen retained-Bash dependency evidence	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The temporary graph schema has no post-migration consumer.
module	standards_verifier.generated_artifacts	tools/standards_verifier/standards_verifier/generated_artifacts.py	delete	mixed-checkpoint migration evidence orchestration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Every orchestrated artifact is migration-only and terminates together.
module	standards_verifier.numeric_audit	tools/standards_verifier/standards_verifier/numeric_audit.py	delete	retained-Bash numeric baseline and lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The audit has no subject corpus after Bash retirement.
module	standards_verifier.numeric_retirements	tools/standards_verifier/standards_verifier/numeric_retirements.py	delete	retained-Bash numeric retirement recording	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Candidate retirement is meaningful only during Bash migration.
module	standards_verifier.complete_checkpoint	tools/standards_verifier/standards_verifier/complete_checkpoint.py	delete	fail-fast retained-Bash execution	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Python suite execution remains in the engine and no retained process runner is needed.
module	standards_verifier.checks.edge_dispositions	tools/standards_verifier/standards_verifier/checks/edge_dispositions.py	delete	checker-package executable-edge lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Executable-edge disposition closes with the final Bash package.
module	standards_verifier.checks.numeric_lifecycle	tools/standards_verifier/standards_verifier/checks/numeric_lifecycle.py	delete	retained-Bash numeric lifecycle suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Its invariant has no post-zero subject or policy owner.
module	standards_verifier.checks.migration_python_dispositions	tools/standards_verifier/standards_verifier/checks/migration_python_dispositions.py	delete	migration Python candidate completeness gate	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The candidate corpus and its disposition comparison terminate with zero-Bash acceptance.
launcher	generate_inventory	tools/standards_verifier/generate_inventory.py	delete	migration evidence regeneration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The generated inventory and graph are deleted at the same terminal boundary.
launcher	generate_numeric_audit	tools/standards_verifier/generate_numeric_audit.py	delete	one-time retained-Bash numeric baseline creation	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No numeric Bash baseline remains after closure.
launcher	generate_numeric_retirements	tools/standards_verifier/generate_numeric_retirements.py	delete	accepted retained-Bash candidate retirement	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No retirement package can remain live after closure.
check-kind	edge_dispositions	tools/standards_verifier/standards_verifier/checks/edge_dispositions.py	delete	executable-edge-dispositions suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The exposed check kind must leave the parser with its implementation and suite.
check-kind	numeric_audit_lifecycle	tools/standards_verifier/standards_verifier/checks/numeric_lifecycle.py	delete	numeric-comparison-classification suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The exposed check kind must leave the parser with its implementation and suite.
check-kind	migration_python_dispositions	tools/standards_verifier/standards_verifier/checks/migration_python_dispositions.py	delete	checker-migration-packages terminal completeness gate	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No migration candidate or disposition remains after terminal closure.
integration-hook	parse_check.edge_dispositions	tools/standards_verifier/standards_verifier/checks/__init__.py	delete	edge_dispositions check registration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Unknown-check behavior replaces the retired parser branch; no alias remains.
integration-hook	parse_check.numeric_audit_lifecycle	tools/standards_verifier/standards_verifier/checks/__init__.py	delete	numeric_audit_lifecycle check registration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Unknown-check behavior replaces the retired parser branch; no alias remains.
integration-hook	parse_check.migration_python_dispositions	tools/standards_verifier/standards_verifier/checks/__init__.py	delete	migration_python_dispositions check registration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The terminal completeness parser branch leaves with its candidate corpus.
integration-hook	CompleteSuiteCatalogCheck	tools/standards_verifier/standards_verifier/model.py	delete	edge_dispositions catalog-wide marker	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No other check requests suite bodies outside its execution closure.
integration-hook	SuiteCatalog.suite_for_path	tools/standards_verifier/standards_verifier/model.py	delete	edge_dispositions assertion lookup	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No other consumer resolves a parsed suite from a suite path.
integration-hook	Verifier.complete_catalog_expansion	tools/standards_verifier/standards_verifier/engine.py	delete	CompleteSuiteCatalogCheck execution branch	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Focused loading no longer needs a migration-only catalog-wide exception.
integration-hook	cli.generated_artifact_phase	tools/standards_verifier/standards_verifier/cli.py	delete	mixed --complete generated-evidence preflight	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Temporary migration evidence is absent from the Python-only checkpoint.
integration-hook	cli.retained_bash_phase	tools/standards_verifier/standards_verifier/cli.py	delete	mixed --complete retained-Bash execution	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No process-execution fallback remains after the last Bash checker is removed.
