case	scope	authority	output	mechanism	source	capability	lifecycle	evidence	fallback	expected
declarative_projection	selected	present	ui	declarative	push	supported	complete	complete	none	allow
imperative_canvas	selected	present	canvas	imperative	push	supported	complete	real-browser	none	allow
imperative_dom_selected	selected	present	ui	imperative	push	supported	complete	complete	none	allow
event_source	selected	present	ui	event	push	supported	complete	complete	none	allow
subscription_source	selected	present	ui	subscription	push	supported	complete	complete	none	allow
query_source	selected	present	ui	query	pull	supported	complete	complete	none	allow
pull_polling	selected	present	ui	polling	pull	supported	complete	complete	none	allow
ffi_drain	selected	present	ui	boundary-drain	pull	supported	complete	complete	none	allow
not_applicable	unselected	missing	none	none	none	missing	missing	missing	none	allow
missing_authority	selected	missing	ui	declarative	push	supported	complete	complete	none	typed-unavailable
missing_source	selected	present	ui	event	missing	supported	complete	complete	none	typed-unavailable
missing_mechanism	selected	present	ui	missing	push	supported	complete	complete	none	typed-unavailable
missing_lifecycle	selected	present	ui	polling	pull	supported	missing	complete	none	typed-unavailable
missing_evidence	selected	present	ui	imperative	push	supported	complete	missing	none	typed-unavailable
unsupported_capability	selected	present	canvas	imperative	push	unsupported	complete	complete	none	typed-unsupported
contradictory_authority	selected	contradictory	ui	declarative	push	supported	complete	complete	none	typed-invalid
unsafe_mutation	selected	present	ui	imperative	push	supported	unsafe	complete	none	typed-invalid
declarative_default	selected	present	ui	declarative	push	supported	complete	complete	declarative-default	typed-invalid
imperative_default	selected	present	ui	imperative	push	supported	complete	complete	imperative-default	typed-invalid
event_default	selected	present	ui	event	push	supported	complete	complete	event-default	typed-invalid
polling_default	selected	present	ui	polling	pull	supported	complete	complete	polling-default	typed-invalid
fixed_cadence	selected	present	ui	polling	pull	supported	complete	complete	fixed-cadence	typed-invalid
dom_authority	selected	present	ui	imperative	push	supported	complete	complete	dom-authority	typed-invalid
copied_state	selected	present	ui	event	push	supported	complete	complete	copied-state	typed-invalid
alternate_mechanism	selected	present	ui	event	push	supported	complete	complete	alternate-mechanism	typed-invalid
stale_success	selected	present	ui	polling	pull	supported	complete	complete	stale-success	typed-invalid
