declaration_source	source	consumer	old_relation	new_relation	old_edge_id	new_edge_id	disposition
evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	profile.boundary.generated-contract.semantic-closure	tools/standards_engine/contracts/a1-contract.schema.json	reference-projection	implementation-projection	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fa1-contract.schema.json	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fa1-contract.schema.json	reclassify
evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	profile.boundary.generated-contract.semantic-closure	tools/standards_engine/contracts/generate_contract.py	reference-projection	implementation-projection	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	profile.boundary.generated-contract.semantic-closure	tools/standards_engine/standards_engine/_generated_contract.py	reference-projection	implementation-projection	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	profile.boundary.generated-contract.semantic-closure	tools/standards_engine/standards_engine/tools.py	reference-projection	implementation-projection	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2Ftools.py	policy-impact:v1/profile.boundary.generated-contract.semantic-closure/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2Ftools.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	topic.architecture.immutable-authority-closure	tools/standards_engine/standards_engine/engine.py	reference-projection	implementation-projection	policy-impact:v1/topic.architecture.immutable-authority-closure/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2Fengine.py	policy-impact:v1/topic.architecture.immutable-authority-closure/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2Fengine.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	topic.architecture.immutable-authority-closure	tools/standards_analysis/standards_analysis/snapshots.py	reference-projection	implementation-projection	policy-impact:v1/topic.architecture.immutable-authority-closure/reference-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fsnapshots.py	policy-impact:v1/topic.architecture.immutable-authority-closure/implementation-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fsnapshots.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	topic.architecture.immutable-authority-closure	tools/standards_analysis/standards_analysis/resolution.py	reference-projection	implementation-projection	policy-impact:v1/topic.architecture.immutable-authority-closure/reference-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fresolution.py	policy-impact:v1/topic.architecture.immutable-authority-closure/implementation-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fresolution.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	topic.architecture.immutable-authority-closure	tools/standards_analysis/standards_analysis/results.py	reference-projection	implementation-projection	policy-impact:v1/topic.architecture.immutable-authority-closure/reference-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fresults.py	policy-impact:v1/topic.architecture.immutable-authority-closure/implementation-projection/tools%2Fstandards_analysis%2Fstandards_analysis%2Fresults.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.generated-semantic-conformance	tools/standards_engine/contracts/generate_contract.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.generated-semantic-conformance/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	policy-impact:v1/topic.contracts.generated-semantic-conformance/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.generated-semantic-conformance	tools/standards_engine/standards_engine/_generated_contract.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.generated-semantic-conformance/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	policy-impact:v1/topic.contracts.generated-semantic-conformance/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.generated-semantic-conformance	tools/standards_engine/standards_engine/__init__.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.generated-semantic-conformance/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2F__init__.py	policy-impact:v1/topic.contracts.generated-semantic-conformance/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2F__init__.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.generated-semantic-conformance	tools/standards_engine/standards_engine/tools.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.generated-semantic-conformance/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2Ftools.py	policy-impact:v1/topic.contracts.generated-semantic-conformance/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2Ftools.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.schema-dialect-and-vocabulary	tools/standards_engine/contracts/a1-contract.schema.json	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fa1-contract.schema.json	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fa1-contract.schema.json	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.schema-dialect-and-vocabulary	tools/standards_engine/contracts/generate_contract.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fgenerate_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.schema-dialect-and-vocabulary	tools/standards_engine/contracts/validate_contracts.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fvalidate_contracts.py	policy-impact:v1/topic.contracts.schema-dialect-and-vocabulary/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fvalidate_contracts.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.identity-versus-instance-equality	tools/standards_metadata/standards_metadata/serialization.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.identity-versus-instance-equality/reference-projection/tools%2Fstandards_metadata%2Fstandards_metadata%2Fserialization.py	policy-impact:v1/topic.contracts.identity-versus-instance-equality/implementation-projection/tools%2Fstandards_metadata%2Fstandards_metadata%2Fserialization.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.identity-versus-instance-equality	tools/standards_engine/contracts/validate_contracts.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.identity-versus-instance-equality/reference-projection/tools%2Fstandards_engine%2Fcontracts%2Fvalidate_contracts.py	policy-impact:v1/topic.contracts.identity-versus-instance-equality/implementation-projection/tools%2Fstandards_engine%2Fcontracts%2Fvalidate_contracts.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.identity-versus-instance-equality	tools/standards_engine/standards_engine/_generated_contract.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.identity-versus-instance-equality/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	policy-impact:v1/topic.contracts.identity-versus-instance-equality/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2F_generated_contract.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.identity-versus-instance-equality	tools/standards_applicability/standards_applicability/core.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.identity-versus-instance-equality/reference-projection/tools%2Fstandards_applicability%2Fstandards_applicability%2Fcore.py	policy-impact:v1/topic.contracts.identity-versus-instance-equality/implementation-projection/tools%2Fstandards_applicability%2Fstandards_applicability%2Fcore.py	reclassify
evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	topic.contracts.identity-versus-instance-equality	tools/standards_engine/standards_engine/model.py	reference-projection	implementation-projection	policy-impact:v1/topic.contracts.identity-versus-instance-equality/reference-projection/tools%2Fstandards_engine%2Fstandards_engine%2Fmodel.py	policy-impact:v1/topic.contracts.identity-versus-instance-equality/implementation-projection/tools%2Fstandards_engine%2Fstandards_engine%2Fmodel.py	reclassify
evaluation/standards-effectiveness/policy-impact/workflow.commit.toml	workflow.commit.per-commit-boundary	reference.recipes.commits	reference-projection	reference-projection	policy-impact:v1/workflow.commit.per-commit-boundary/reference-projection/reference.recipes.commits	policy-impact:v1/workflow.commit.per-commit-boundary/reference-projection/reference.recipes.commits	retain
evaluation/standards-effectiveness/policy-impact/workflow.commit.toml	workflow.commit.integration-mechanisms	reference.recipes.commits	reference-projection	reference-projection	policy-impact:v1/workflow.commit.integration-mechanisms/reference-projection/reference.recipes.commits	policy-impact:v1/workflow.commit.integration-mechanisms/reference-projection/reference.recipes.commits	retain
evaluation/standards-effectiveness/policy-impact/workflow.commit.toml	workflow.commit.worktree-lifecycle	reference.recipes.commits	reference-projection	reference-projection	policy-impact:v1/workflow.commit.worktree-lifecycle/reference-projection/reference.recipes.commits	policy-impact:v1/workflow.commit.worktree-lifecycle/reference-projection/reference.recipes.commits	retain
