case	artifact_contract	target	identity	delivery	mechanism	capability	evidence	fallback	expected
static_linked	declared	supported	exact	linked	static-link	available	matched	none	allow
package_resolved	declared	supported	exact	packaged	package-resolver	available	matched	none	allow
system_loader	declared	supported	exact	system	os-loader	available	matched	none	allow
provisioned_dynamic	declared	supported	exact	provisioned	dynamic-load	available	matched	none	allow
provided_handle	declared	supported	exact	provisioned	provided-handle	available	matched	none	allow
selected_embedding	declared	supported	exact	embedded	embedded-resource	available	matched	none	allow
unsupported_target	declared	unsupported	exact	packaged	package-resolver	available	matched	none	typed-unsupported
missing_contract	missing	supported	exact	packaged	package-resolver	available	matched	none	typed-unavailable
contradictory_contract	contradictory	supported	exact	packaged	package-resolver	available	matched	none	typed-invalid
unknown_target	declared	unknown	exact	packaged	package-resolver	available	matched	none	typed-unavailable
missing_identity	declared	supported	missing	packaged	package-resolver	available	matched	none	typed-unavailable
ambiguous_identity	declared	supported	ambiguous	packaged	package-resolver	available	matched	none	typed-invalid
unknown_delivery	declared	supported	exact	unknown	dynamic-load	available	matched	none	typed-unavailable
unknown_mechanism	declared	supported	exact	packaged	unknown	available	matched	none	typed-unavailable
unavailable_capability	declared	supported	exact	packaged	package-resolver	unavailable	matched	none	typed-unavailable
missing_evidence	declared	supported	exact	packaged	package-resolver	available	missing	none	typed-unavailable
strategy_default	declared	supported	exact	packaged	dynamic-load	available	matched	mandatory-strategy	typed-invalid
guessed_filename	declared	supported	exact	packaged	dynamic-load	available	matched	guessed-name	typed-invalid
ambient_search	declared	supported	exact	system	os-loader	available	matched	ambient-search	typed-invalid
alternate_loader	declared	supported	exact	packaged	dynamic-load	available	matched	alternate-loader	typed-invalid
alternate_artifact	declared	supported	exact	packaged	package-resolver	available	matched	alternate-artifact	typed-invalid
embedded_copy	declared	supported	exact	packaged	embedded-resource	available	matched	embedded-copy	typed-invalid
default_success	missing	unknown	missing	unknown	unknown	unavailable	missing	default-success	typed-invalid
