mechanism	current_authority	current_implementation	consumer	proposed_upstream_dependency	disposition	rationale	compatibility_or_migration_effect	evidence_owner	revisit_trigger
policy-impact edge declarations	evaluation/standards-effectiveness/policy-semantic-impact.toml	standards_verifier/policy_impact.py PolicyImpact model and loader	Planning policy review and policy_impact check	generic manifest source plus policy-impact named group	migrate-now	Duplicates generic edge storage, indexing, alias lookup, and reverse discovery required by the objective.	Replace schema in place; no legacy parser or duplicate manifest.	suite:policy-semantic-impact	objective acceptance
policy-impact reverse query	policy-semantic-impact manifest	query_policy_impact.py and policy_impact_cli.py	maintainers reviewing audited policy changes	generic query_edges CLI over policy-impact group	migrate-now	Duplicates generic querying and would become fallback authority if retained.	Delete old command and document generic command; no alias absent an external contract.	suite:policy-semantic-impact	objective acceptance
registered suite dependencies	evaluation/standards-effectiveness/suite-registry.toml	config.py acyclic validation and engine.py recursive selection/order	standards verifier execution	registered provider producing suite-dependency group	adapt-now	Permanent executable dependency graph duplicates cycle, closure, and traversal mechanics and exercises the upstream API.	Keep registry schema and typed verifier diagnostics; replace internal graph algorithms only.	tests:test_engine	objective acceptance
standards metadata Requires	canonical module metadata	metadata.py graph validation	Router and standards metadata verification	registered provider producing standards-requires group	adapt-now	Permanent directed dependency graph duplicates cycle mechanics and maps directly to explicit edges.	Keep Markdown metadata authority and diagnostics; provider emits generic edges without inferring semantics.	suite:metadata-contract	objective acceptance
standards metadata Specializes	canonical module metadata	metadata.py graph validation	Router and standards metadata verification	registered provider producing standards-specializes group	adapt-now	Permanent directed specialization graph shares generic cycle and group filtering needs.	Keep Markdown metadata authority and diagnostics; combined-cycle view selects both groups.	suite:metadata-contract	objective acceptance
temporary Bash checker dependency graph	retained Bash files plus frozen generator contract	migration_graph.py nodes edges SCC components waves and generated TSVs	Bash retirement lifecycle	generic engine only after separately demonstrated benefit	defer	Temporary schema is frozen and specialized SCC component and wave output is active migration authority.	No schema output lifecycle or ordering change in this recovery.	verification-engine plan	zero-Bash deletion or separately admitted demonstrated need
migration package prerequisites	evaluation/standards-effectiveness/checker-migration-packages.tsv	edge_dispositions.py and package lifecycle checks	Bash retirement package admission	generic migration-dependency group after Bash closure	defer	Temporary active package authority would create broad shared churn and is already scheduled for retirement.	No package rows states ordering or diagnostics change.	verification-engine plan	zero-Bash closure or permanent post-migration package system
executable edge dispositions	evaluation/standards-effectiveness/executable-edge-dispositions.tsv	edge_dispositions.py table membership and replacement validation	Bash retirement acceptance	none	retain-specialized	This is lifecycle disposition authority comparing explicit tables, not generic graph storage or traversal.	No change; do not reinterpret disposition rows as generic edge authority.	suite:checker-migration-packages	if a permanent executable relation replaces migration dispositions
declarative relation checks	suite-local left and right table declarations	checks/relation.py	registered declarative suites	none	not-a-graph	Exact table multiset comparison has no nodes adjacency reverse lookup or traversal.	No change.	tests:test_engine	if relation semantics acquire explicit graph traversal
declarative keyed relation checks	suite-local keyed table declarations	checks/keyed_relation.py	registered declarative suites	none	not-a-graph	Keyed projection comparison is a relational assertion rather than graph authority.	No change.	tests:test_engine	if keyed records become canonical edge declarations
source-index closure	source index and manifest tables	checks/source_index_closure.py	migration source closure suites	none	retain-specialized	Validates exact membership ownership and disposition closure without graph traversal.	No change; preserve table authority.	suite:source-index-closures	if source relations need incident discovery or traversal
canonical owner maps	consolidation dispositions and generated owner map	generated artifact checks	standards ownership verification	none	not-a-graph	Owner projection is a derived key mapping and must not become inferred semantic edges.	No change.	suite:canonical-owner-map	if explicit owner-consumer edges are separately declared
Markdown links	Markdown source documents	checks/markdown_links.py and link scripts	documentation navigation	none	not-a-graph	Links prove target validity only and are explicitly forbidden as semantic edge inference.	No change.	Markdown link verification	never for semantic inference
complete-checkpoint Bash order	generated retained-checker inventory	complete_checkpoint.py	mixed verification checkpoint	none	retain-specialized	Deterministic sequential execution is inventory order without dependency traversal.	No change.	tests:test_complete_checkpoint	if checkpoint gains explicit executable dependencies
