case	claim	native_evidence	host_evidence	package_relation	provenance	substitute	expected
in_process_supported	selected	complete	complete	not-separate	not-required	none	allow
separate_units_compatible	selected	complete	complete	declared	complete	none	allow
unselected_internal_helper	not-selected	not-required	not-required	not-required	not-required	none	omit
missing_native	selected	missing	complete	not-separate	not-required	none	typed-unavailable
missing_host	selected	complete	missing	not-separate	not-required	none	typed-unavailable
missing_package_contract	selected	complete	complete	missing	complete	none	typed-invalid
missing_provenance	selected	complete	complete	declared	missing	none	typed-unavailable
unsupported_host	unsupported	complete	unsupported	not-separate	not-required	none	typed-unsupported
wrapper_only	selected	missing	missing	not-separate	not-required	wrapper	typed-invalid
native_only	selected	complete	missing	not-separate	not-required	native-only	typed-invalid
host_smoke_only	selected	missing	complete	not-separate	not-required	host-smoke	typed-invalid
generated_type_proof	selected	missing	missing	not-separate	not-required	generated-type	typed-invalid
producer_snapshot	selected	complete	missing	not-separate	not-required	producer-snapshot	typed-invalid
experimental_label	selected	missing	missing	not-separate	not-required	experimental-label	typed-invalid
fixed_schedule	selected	complete	complete	not-separate	not-required	fixed-schedule	typed-invalid
alternate_artifact	selected	complete	complete	missing	missing	alternate-artifact	typed-invalid
