order	source	canonical_owner	current_shape	treatment	retention_evidence	risk	concurrency	gate
1	CODING-STANDARDS.md	CORE-STANDARDS.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
2	COMMIT-STANDARDS.md	workflows/commit.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
3	PLAN-STANDARDS.md	workflows/planning.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
4	DOCUMENTATION-STANDARDS.md	workflows/documentation.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
5	CONCURRENCY-STANDARDS.md	topics/concurrency.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
6	SECURITY-STANDARDS.md	topics/security.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
7	CROSS-PLATFORM-STANDARDS.md	topics/cross-platform.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
8	DEPENDENCY-STANDARDS.md	topics/dependencies.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
9	INTEROP-STANDARDS.md	profiles/boundaries/interop.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
10	LANGUAGE-BINDINGS-STANDARDS.md	profiles/boundaries/language-bindings.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
11	ACCESSIBILITY-STANDARDS.md	topics/accessibility.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
12	ARCHITECTURE-PATTERNS.md	reference/patterns/architecture.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
13	TOOLING-STANDARDS.md	workflows/tooling.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
14	TESTING-STANDARDS.md	workflows/verification.md	concise	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
15	RELEASE-STANDARDS.md	workflows/release.md	concise	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
16	FRONTEND-STANDARDS.md	profiles/applications/frontend.md	concise	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
17	LAUNCHER-STANDARDS.md	profiles/applications/launcher.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
18	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
19	languages/rust/RUST-ASYNC-STANDARDS.md	profiles/languages/rust/async.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
20	languages/rust/RUST-CROSS-PLATFORM-STANDARDS.md	profiles/languages/rust/cross-platform.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
21	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
22	languages/rust/RUST-INTEROP-STANDARDS.md	profiles/languages/rust/interop.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
23	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
24	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
25	languages/rust/RUST-SECURITY-STANDARDS.md	profiles/languages/rust/security.md	expanded	rewrite-index	frozen-stable-entrypoint	consolidation	isolated-draft	full-suite
26	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
27	languages/rust/RUST-UNSAFE-STANDARDS.md	profiles/languages/rust/unsafe.md	concise	retain-index	frozen-stable-entrypoint	mechanical	isolated-draft	full-suite
