case	overlap	resource_owner	coordination	cleanup	lifecycle_evidence	substitute	expected
isolated_temp_roots	possible	exclusive	not-required	complete	complete	none	allow
owned_database	possible	exclusive	not-required	complete	complete	none	allow
coordinated_global_state	possible	shared	explicit	complete	complete	none	allow
sequential_proof	none	not-required	not-required	complete	not-applicable	none	allow
missing_resource_owner	possible	missing	not-required	complete	complete	none	typed-invalid
unavailable_isolation	possible	unavailable	not-required	complete	complete	none	typed-unavailable
shared_without_coordination	possible	shared	missing	complete	complete	none	typed-invalid
global_state_not_restored	possible	shared	explicit	missing	complete	none	typed-invalid
owned_work_not_terminated	possible	exclusive	not-required	missing	complete	none	typed-invalid
missing_lifecycle_evidence	possible	exclusive	not-required	complete	missing	none	typed-invalid
serialization_fallback	possible	missing	implicit	complete	complete	serialization	typed-invalid
ambient_resource_identity	possible	ambient	not-required	complete	complete	ambient	typed-invalid
weakened_parallelism	possible	shared	missing	complete	complete	weaken-parallelism	typed-invalid
happy_path_substitute	possible	exclusive	not-required	complete	missing	happy-path	typed-invalid
smoke_substitute	possible	exclusive	not-required	complete	missing	smoke	typed-invalid
