case	contract	blocker	investigation	decision_relevance	reversibility	consequence	cheaper_path	facts	expected
ready_reversible	satisfied	none	none	not-applicable	not-applicable	not-applicable	not-applicable	complete	implement
bounded_implementation_test	satisfied	none	proposed	current	reversible	bounded	implementation	complete	implement
adjacent_uncertainty	satisfied	none	proposed	adjacent	reversible	bounded	implementation	complete	defer-and-implement
irreversible_decision	satisfied	none	proposed	current	irreversible	bounded	implementation	complete	investigate
high_consequence_decision	satisfied	none	proposed	current	reversible	high	implementation	complete	investigate
cheaper_bounded_investigation	satisfied	none	proposed	current	reversible	bounded	investigation	complete	investigate
contract_not_satisfied	unsatisfied	none	proposed	current	reversible	bounded	investigation	complete	investigate
missing_authority	unsatisfied	missing-authority-or-state	proposed	current	irreversible	high	investigation	complete	blocked
missing_decision_fact	satisfied	none	proposed	current	reversible	bounded	implementation	missing	unavailable
contradictory_decision_fact	satisfied	none	proposed	current	reversible	bounded	implementation	contradictory	invalid
