case	claim	scope	capability	evidence	fallback	expected
accepted	accepted	known	supported	complete	none	allow
missing_claim	missing	known	supported	complete	none	typed-unavailable
unknown_scope	accepted	unknown	supported	complete	none	typed-unavailable
contradictory	contradictory	known	supported	complete	none	typed-invalid
unsupported	accepted	known	unsupported	complete	none	typed-unsupported
incomplete	accepted	known	supported	incomplete	none	typed-unavailable
every_release	accepted	known	supported	complete	every-release	typed-invalid
workspace	accepted	known	supported	complete	workspace-scope	typed-invalid
all_features	accepted	known	supported	complete	all-features	typed-invalid
warnings	accepted	known	supported	complete	warning-denial	typed-invalid
audit	accepted	known	supported	complete	dependency-audit	typed-invalid
benchmark	accepted	known	supported	complete	benchmark-update	typed-invalid
metadata	accepted	known	supported	complete	metadata-agreement	typed-invalid
changelog	accepted	known	supported	complete	changelog-agreement	typed-invalid
tag	accepted	known	supported	complete	tag-agreement	typed-invalid
artifact	accepted	known	supported	complete	artifact-name-agreement	typed-invalid
success	accepted	known	supported	complete	command-success	typed-invalid
