case	promises	version_scope	coupling_basis	identity_effect	version_role	overlap	consumer_set	matrix	expected
one_compatibility_promise	one	shared	compatibility	material	compatibility	promised	actual	actual-only	allow
coherent_shared_promises	coherent	shared	compatibility	material	combined	promised	actual	actual-only	allow
independent_explicit_versions	independent	separate	none	not-applicable	identity-domain	none	actual	not-applicable	allow
file_based_umbrella	independent	umbrella	file	material	combined	promised	actual	actual-only	separate-versions
build_based_umbrella	independent	umbrella	build	material	combined	promised	actual	actual-only	separate-versions
release_based_umbrella	independent	umbrella	release	material	combined	promised	actual	actual-only	separate-versions
coherent_file_based_umbrella	coherent	umbrella	file	material	combined	promised	actual	actual-only	separate-versions
unrelated_identity_invalidation	one	shared	compatibility	unrelated	identity-domain	none	actual	not-applicable	typed-invalid
missing_version_scope	one	missing	compatibility	material	compatibility	promised	actual	actual-only	typed-unavailable
unknown_compatibility_promise	unknown	shared	compatibility	material	compatibility	promised	actual	actual-only	typed-unavailable
unknown_identity_effect	one	shared	compatibility	unknown	identity-domain	none	actual	not-applicable	typed-unavailable
current_format_atomic_cutover	coherent	separate	none	not-applicable	current-format	none	actual	not-applicable	allow
current_format_no_historical_matrix	one	separate	none	not-applicable	current-format	none	actual	not-applicable	allow
actual_overlap_matrix	one	shared	compatibility	material	compatibility	promised	actual	actual-only	allow
actual_overlap_missing_matrix	one	shared	compatibility	material	compatibility	promised	actual	absent	typed-unavailable
hypothetical_cross_engine_matrix	independent	separate	compatibility	material	compatibility	promised	hypothetical	hypothetical	typed-invalid
hypothetical_consumer_no_promise	coherent	separate	none	not-applicable	current-format	none	hypothetical	not-applicable	allow
allocation_ordinal_not_compatibility	independent	separate	none	not-applicable	allocation-ordinal	none	actual	not-applicable	allow
ordinal_used_as_compatibility	one	shared	compatibility	material	allocation-ordinal	promised	actual	actual-only	typed-invalid
combined_roles_independent_promises	independent	shared	compatibility	material	combined	promised	actual	actual-only	separate-versions
migration_role	coherent	separate	none	not-applicable	migration	none	actual	not-applicable	allow
unknown_version_role	one	shared	compatibility	material	unknown	unknown	unknown	absent	typed-unavailable
