case	authority	workload	environment	baseline	evidence	mechanism	fallback	expected
budget_measurement	owned	representative	representative	present	proved	selected	none	allow
relative_comparison	owned	representative	representative	present	proved	selected	none	allow
micro_mechanism_claim	owned	isolated	representative	present	proved	selected	none	allow
startup_claim	owned	startup	representative	present	proved	selected	none	allow
contradictory_budget	contradictory	representative	representative	present	proved	selected	none	typed-invalid
contradictory_workload	contradictory	contradictory	representative	present	proved	selected	none	typed-invalid
unsupported_platform	owned	representative	unsupported	present	proved	selected	none	typed-unsupported
missing_authority	missing	representative	representative	present	proved	selected	none	typed-unavailable
missing_baseline	owned	representative	representative	missing	proved	selected	none	typed-unavailable
missing_environment	owned	representative	missing	present	proved	selected	none	typed-unavailable
missing_evidence	owned	representative	representative	present	missing	selected	none	typed-unavailable
allocation_ban	owned	representative	representative	present	proved	allocation	allocation-ban	typed-invalid
hot_loop_assumption	owned	loop	representative	present	proved	selected	hot-loop	typed-invalid
stale_benchmark	owned	representative	representative	stale	proved	selected	stale-baseline	typed-invalid
alternate_workload	owned	alternate	representative	present	proved	selected	alternate-workload	typed-invalid
debug_substitute	owned	representative	debug	present	proved	selected	weaker-environment	typed-invalid
fixed_threshold	owned	representative	representative	present	proved	selected	conventional-threshold	typed-invalid
documentation_as_proof	owned	representative	representative	present	documentation	selected	documentation-proof	typed-invalid
