case	surface	authority	runtime_input	projection	evidence	fallback	expected
local_inference	local	owned	not-applicable	inferred	proved	none	allow
public_annotation	public	owned	not-applicable	explicit	proved	none	allow
public_verified_inference	public	owned	not-applicable	inferred	proved	none	allow
generated_contract	public	schema	not-applicable	generated	proved	none	allow
decoded_boundary	boundary	schema	untrusted	decoded	proved	none	allow
raw_primitive_valid	public	owned	not-applicable	primitive	proved	none	allow
contradictory_authority	public	contradictory	not-applicable	explicit	proved	none	typed-invalid
missing_authority	public	missing	not-applicable	explicit	proved	none	typed-unavailable
unsupported_variant	boundary	schema	unsupported	decoded	proved	none	typed-unsupported
missing_decoder	boundary	schema	untrusted	missing	proved	none	typed-unavailable
missing_evidence	public	owned	not-applicable	explicit	missing	none	typed-unavailable
any_runtime_proof	boundary	schema	untrusted	any	proved	any	typed-invalid
assertion_runtime_proof	boundary	schema	untrusted	assertion	proved	assertion	typed-invalid
copied_response	public	schema	not-applicable	copied	proved	copied-shape	typed-invalid
blanket_annotation	local	owned	not-applicable	explicit	proved	blanket-explicit	typed-invalid
blanket_wrapper	public	owned	not-applicable	wrapper	proved	blanket-domain	typed-invalid
alternate_generator	public	schema	not-applicable	generated	proved	alternate-generator	typed-invalid
