case	ui_change	projection	interaction	state	evidence	platform	facts	fallback	expected
browser_projection	yes	selected	none	selected	selected	browser	complete	none	apply
desktop_webtech_interaction	yes	selected	selected	selected	selected	desktop-shell	complete	none	apply
embedded_webview_state	yes	selected	none	selected	selected	embedded	complete	none	apply
headless_domain_change	no	none	none	none	none	server	complete	none	not-applicable
native_host_only	no	none	none	none	none	native	complete	none	not-applicable
missing_responsibility	yes	missing	none	missing	selected	browser	missing	none	typed-unavailable
missing_boundary_facts	yes	selected	selected	selected	selected	unknown	missing	none	typed-unavailable
contradictory_ownership	yes	contradictory	selected	selected	selected	browser	complete	none	typed-invalid
unsupported_platform	yes	selected	selected	selected	selected	unsupported	complete	none	typed-unsupported
browser_name_default	yes	selected	none	selected	selected	browser	complete	browser-name	typed-invalid
electron_name_default	yes	selected	none	selected	selected	desktop-shell	complete	electron-name	typed-invalid
tauri_name_default	yes	selected	none	selected	selected	desktop-shell	complete	tauri-name	typed-invalid
webview_name_default	yes	selected	none	selected	selected	embedded	complete	webview-name	typed-invalid
directory_inference	yes	selected	none	selected	selected	browser	complete	directory	typed-invalid
copied_product_profile	yes	selected	none	selected	selected	browser	complete	copied-profile	typed-invalid
cross_boundary_takeover	yes	selected	none	selected	selected	browser	complete	owner-takeover	typed-invalid
