case	source	closure	freshness	shape	semantics	public_path	external_oracle	equality_domain	scope	expected
complete_local_contract	supported	complete	fresh	agree	conform	pass	not-applicable	separated	candidate	allow
complete_external_contract	supported	complete	fresh	agree	conform	pass	independent	separated	candidate	allow
fresh_but_semantically_wrong	supported	complete	fresh	agree	nonconform	pass	independent	separated	candidate	typed-invalid
stale_generated_output	supported	complete	stale	agree	conform	pass	independent	separated	candidate	typed-invalid
incomplete_reachable_closure	supported	incomplete	fresh	agree	conform	pass	independent	separated	candidate	typed-invalid
missing_public_consumer	supported	complete	fresh	agree	conform	missing	independent	separated	candidate	typed-unavailable
local_only_external_oracle	supported	complete	fresh	agree	conform	pass	local-only	separated	candidate	typed-invalid
conflated_equality_contract	supported	complete	fresh	agree	conform	pass	independent	conflated	candidate	typed-invalid
unsupported_source_construct	unsupported	complete	fresh	agree	conform	pass	independent	separated	candidate	typed-unsupported
missing_source_authority	missing	complete	fresh	agree	conform	pass	independent	separated	candidate	typed-unavailable
historical_a1_nonconformance	supported	complete	fresh	agree	nonconform	pass	independent	conflated	historical-a1	record-nonconformance
