case	overlap	authority	cancellation	completion	application	capability	evidence	fallback	expected
scoped_generation_current	yes	scoped-generation	propagated	observed	current	supported	complete	none	allow
scoped_generation_superseded	yes	scoped-generation	propagated	superseded	suppressed	supported	complete	none	allow
abort_signal_cancelled	yes	abort-signal	propagated	cancelled	suppressed	supported	complete	none	allow
serialized_owner	yes	serialized	not-required	observed	current	supported	complete	none	allow
sequential_operation	no	not-required	not-required	observed	current	supported	complete	none	allow
global_counter	yes	process-global	not-required	superseded	suppressed	supported	complete	none	typed-invalid
stale_mutation	yes	scoped-generation	propagated	superseded	stale	supported	complete	none	typed-invalid
discarded_completion	yes	scoped-generation	propagated	discarded	suppressed	supported	complete	none	typed-invalid
ignored_cancellation	yes	abort-signal	ignored	observed	current	supported	complete	none	typed-invalid
missing_authority	yes	missing	propagated	observed	current	supported	complete	none	typed-unavailable
unsupported_identity	yes	scoped-generation	propagated	observed	current	unsupported	complete	none	typed-unsupported
missing_evidence	yes	scoped-generation	propagated	observed	current	supported	missing	none	typed-unavailable
alternate_mechanism	yes	scoped-generation	propagated	observed	current	supported	complete	alternate-mechanism	typed-invalid
default_success	yes	missing	ignored	discarded	stale	missing	missing	default-success	typed-invalid
