case	completion	states	boundary	timing	diagnostics	mechanism	substitute	expected
owned_success	owned	success	local	not-applicable	not-applicable	await	none	allow
owned_failure	owned	failure	service	not-applicable	owned	join	none	allow
cancellation	owned	cancellation	service	owned	owned	event	none	allow
timeout	owned	timeout	process	owned	owned	clock	none	allow
retry_exhaustion	owned	retry-exhausted	service	owned	owned	harness	none	allow
partial_result	owned	partial	service	not-applicable	owned	event	none	allow
continued_operation	owned	running	process	owned	owned	observe	none	allow
contradictory_completion	contradictory	success	local	not-applicable	not-applicable	await	none	typed-invalid
contradictory_states	owned	contradictory	service	owned	owned	join	none	typed-invalid
contradictory_boundary	owned	failure	contradictory	owned	owned	event	none	typed-invalid
unsupported_observation	owned	timeout	process	owned	owned	unsupported	none	typed-unsupported
missing_completion	missing	success	local	not-applicable	not-applicable	await	none	typed-unavailable
missing_states	owned	missing	service	owned	owned	join	none	typed-unavailable
missing_timing	owned	timeout	process	missing	owned	clock	none	typed-unavailable
await_substitute	owned	success	local	not-applicable	not-applicable	await	await-syntax	typed-invalid
generic_failure	owned	failure	service	owned	owned	join	generic-error	typed-invalid
