case	responsibility	authority	contracts	lifecycle	capability	evidence	label	fallback	expected
selected_facts	clear	clear	complete	owned	supported	selected	none	none	route
no_pattern_needed	clear	clear	complete	owned	supported	selected	none	not-needed	route
missing_responsibility	missing	clear	complete	owned	supported	selected	none	none	typed-unavailable
missing_authority	clear	missing	complete	owned	supported	selected	none	none	typed-unavailable
missing_contract	clear	clear	missing	owned	supported	selected	none	none	typed-unavailable
missing_lifecycle	clear	clear	complete	missing	supported	selected	none	none	typed-unavailable
missing_evidence	clear	clear	complete	owned	supported	missing	none	none	typed-unavailable
unsupported_capability	clear	clear	complete	owned	unsupported	selected	none	none	typed-unsupported
contradictory_authority	clear	contradictory	complete	owned	supported	selected	none	none	typed-invalid
layer_label	clear	clear	complete	owned	supported	selected	multi-layer	label-selects-pattern	typed-invalid
backend_label	clear	clear	complete	owned	supported	selected	client-server	label-selects-pattern	typed-invalid
team_label	clear	clear	complete	owned	supported	selected	parallel-team	label-selects-pattern	typed-invalid
process_label	clear	clear	complete	owned	supported	selected	multi-process	label-selects-pattern	typed-invalid
ui_label	clear	clear	complete	owned	supported	selected	complex-ui	label-selects-pattern	typed-invalid
failure_label	clear	clear	complete	owned	supported	selected	infrastructure-failure	label-selects-pattern	typed-invalid
nearest_example	clear	clear	complete	owned	supported	selected	none	nearest-example	typed-invalid
incumbent_pattern	clear	clear	complete	owned	supported	selected	none	incumbent-pattern	typed-invalid
fixed_diagram	clear	clear	complete	owned	supported	selected	none	fixed-diagram	typed-invalid
