case	contract	validation	grammar	encoding	arguments	evidence	fallback	expected
structured_valid	declared	passed	selected	conformant	preserved	complete	none	allow
text_valid	declared	passed	selected	conformant	preserved	complete	none	allow
failed_validation	declared	failed	selected	conformant	preserved	complete	none	typed-invalid
missing_contract	missing	passed	selected	conformant	preserved	complete	none	typed-unavailable
missing_grammar	declared	passed	missing	conformant	preserved	complete	none	typed-unavailable
missing_encoder	declared	passed	selected	missing	preserved	complete	none	typed-unavailable
unsupported_value	declared	passed	selected	unsupported	preserved	complete	none	typed-unsupported
raw_concat	declared	passed	selected	conformant	lost	complete	raw-value	typed-invalid
shell_for_desktop	declared	passed	selected	conformant	preserved	complete	cross-grammar	typed-invalid
eval_generated	declared	passed	selected	conformant	preserved	complete	eval	typed-invalid
helper_as_proof	declared	passed	selected	conformant	preserved	complete	helper-proof	typed-invalid
alternate_destination	declared	passed	selected	conformant	preserved	complete	alternate	typed-invalid
partial_command	declared	passed	selected	conformant	preserved	incomplete	partial	typed-invalid
default_command	declared	passed	selected	conformant	preserved	complete	default	typed-invalid
