case	topology	representation	selection	lifecycle	requirement	capability	evidence	fallback	expected
framework_lift	in-process	framework	framework	fit	supported	available	complete	none	allow
serialized_binding	in-process	serialized	serialized	fit	supported	available	complete	none	allow
stable_abi	in-process	c-abi	c-abi	fit	supported	available	complete	none	allow
opaque_handle	in-process	opaque	opaque	fit	supported	available	complete	none	allow
process_ipc	process	serialized	ipc	fit	supported	available	complete	none	allow
unsupported_requirement	in-process	framework	framework	fit	unsupported	available	complete	none	typed-unsupported
wrong_in_process_mechanism	in-process	framework	c-abi	fit	supported	available	complete	none	typed-invalid
process_without_ipc	process	serialized	serialized	fit	supported	available	complete	none	typed-invalid
ipc_without_process	in-process	serialized	ipc	fit	supported	available	complete	none	typed-invalid
lifecycle_mismatch	in-process	framework	framework	mismatch	supported	available	complete	none	typed-invalid
missing_capability	in-process	framework	framework	fit	supported	unavailable	complete	none	typed-unavailable
missing_evidence	in-process	c-abi	c-abi	fit	supported	available	missing	none	typed-unavailable
target_count_default	in-process	framework	framework	fit	supported	available	complete	target-count	typed-invalid
host_label_default	in-process	framework	framework	fit	supported	available	complete	host-label	typed-invalid
ui_technology_default	process	serialized	ipc	fit	supported	available	complete	ui-technology	typed-invalid
alternate_framework	in-process	framework	framework	fit	supported	unavailable	complete	alternate-framework	typed-invalid
alternate_abi	in-process	framework	c-abi	fit	supported	unavailable	complete	alternate-abi	typed-invalid
alternate_serializer	in-process	serialized	serialized	fit	supported	unavailable	complete	alternate-serializer	typed-invalid
process_substitute	in-process	framework	ipc	fit	supported	unavailable	complete	process-substitute	typed-invalid
default_success	in-process	opaque	opaque	fit	supported	unavailable	missing	default-success	typed-invalid
