resource_type	resource	recommendation	authority	rationale
branch	codex/7.4b8s-row-6-decomposition	review-redundant-ref	separate	tip is already reachable from main
branch	codex/7.4b8t-native-artifact-loading	review-redundant-ref	separate	tip is already reachable from main
branch	codex/7.4b8u-native-artifact-release	review-redundant-ref	separate	tip is already reachable from main
branch	codex/7.4b8v-platform-evidence	preserve-owner-review	separate	branch is checked out
branch	codex/generic-edge-correctness	preserve-owner-review	separate	branch is checked out
branch	codex/generic-edge-system	preserve-owner-review	separate	branch is checked out
branch	codex/git-branch-lifecycle-policy	retain-active	separate	current governed task
branch	codex/m6-c1-admission	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c1-implementation	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c2-admission	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c2-implementation	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c3-admission	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c3-implementation	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c4-admission	preserve-owner-review	separate	branch is checked out
branch	codex/m6-c4-implementation	preserve-owner-review	separate	branch is checked out
branch	codex/m6-s-admission	preserve-owner-review	separate	branch is checked out
branch	codex/m6-s1	preserve-owner-review	separate	branch is checked out
branch	codex/m6-s2	preserve-owner-review	separate	branch is checked out
branch	codex/m6-s3	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u0-repreflight	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u1-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u10-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u11-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u12-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u2-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u3-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u4-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u5-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u6-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u7-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u8-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m6-u9-proposal	preserve-owner-review	separate	branch is checked out
branch	codex/m7-accelerated-replan	preserve-owner-review	separate	branch is checked out
branch	codex/m7-architecture-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-architecture-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-artifact-compatibility	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-artifact-composition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-contract-evolution	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-generation-authority	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-generation-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-mechanism-selection	preserve-owner-review	separate	branch is checked out
branch	codex/m7-binding-surface-contract	preserve-owner-review	separate	branch is checked out
branch	codex/m7-ci-orchestration-replan	preserve-owner-review	separate	branch is checked out
branch	codex/m7-concurrency-specialization-replan	preserve-owner-review	separate	branch is checked out
branch	codex/m7-contract-boundaries	preserve-owner-review	separate	branch is checked out
branch	codex/m7-contract-invariants	preserve-owner-review	separate	branch is checked out
branch	codex/m7-core-code-discipline	preserve-owner-review	separate	branch is checked out
branch	codex/m7-core-constants	preserve-owner-review	separate	branch is checked out
branch	codex/m7-core-simplicity	preserve-owner-review	separate	branch is checked out
branch	codex/m7-csharp-async-index	preserve-owner-review	separate	branch is checked out
branch	codex/m7-csharp-async-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-csharp-async-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-decision-table-foundation	preserve-owner-review	separate	branch is checked out
branch	codex/m7-dependencies-consolidation	preserve-owner-review	separate	branch is checked out
branch	codex/m7-dependencies-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-dependencies-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-dependency-route	preserve-owner-review	separate	branch is checked out
branch	codex/m7-disabled-lifecycle	preserve-owner-review	separate	branch is checked out
branch	codex/m7-disabled-verification	preserve-owner-review	separate	branch is checked out
branch	codex/m7-formatter-command-recipes	preserve-owner-review	separate	branch is checked out
branch	codex/m7-formatting-policy	preserve-owner-review	separate	branch is checked out
branch	codex/m7-formatting-replan	preserve-owner-review	separate	branch is checked out
branch	codex/m7-frontend-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-generated-command-security	preserve-owner-review	separate	branch is checked out
branch	codex/m7-godot-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-godot-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-gui-smoke-verification	preserve-owner-review	separate	branch is checked out
branch	codex/m7-language-routing	preserve-owner-review	separate	branch is checked out
branch	codex/m7-launcher-owner	preserve-owner-review	separate	branch is checked out
