case	polling	external	durability	cleanup	owner	terminal	inspection	capability	fallback	expected
completed-operation	completed	none	not-required	not-required	lifecycle	observed	evidence	available	none	allow
dropped-proven-cancelled	dropped	cancelled	transactional	explicit-async	lifecycle	observed	evidence	available	none	allow
dropped-external-continues	dropped	continues	resumable	explicit-async	lifecycle	observed	evidence	available	none	allow
dropped-external-unknown	dropped	unknown	idempotent	explicit-async	lifecycle	observed	evidence	available	none	allow
compensating-cancellation	dropped	cancelled	compensating	explicit-async	lifecycle	observed	evidence	available	none	allow
unprotected-durable-work	dropped	unknown	unprotected	explicit-async	lifecycle	observed	evidence	available	none	typed-invalid
assumed-external-cancel	dropped	unknown	idempotent	explicit-async	lifecycle	observed	evidence	available	assume-external-cancel	typed-invalid
synchronous-drop-safety	completed	none	not-required	drop-sync	not-required	not-required	not-required	available	none	allow
drop-async-assumption	dropped	continues	resumable	drop-async-assumed	lifecycle	observed	evidence	available	drop-cleanup	typed-invalid
detached-cleanup	dropped	continues	resumable	detached	lifecycle	observed	evidence	available	none	typed-invalid
lifecycle-owned-evidence	active	none	not-required	not-required	lifecycle	observed	evidence	available	none	allow
leaf-evidence-owner	active	none	not-required	not-required	leaf	observed	evidence	available	none	typed-invalid
missing-evidence-owner	active	none	not-required	not-required	missing	observed	evidence	available	none	typed-invalid
silent-terminal-outcome	active	none	not-required	not-required	lifecycle	silent	evidence	available	none	typed-invalid
inspection-evidence	active	none	not-required	not-required	lifecycle	observed	evidence	available	none	allow
tool-only-inspection	active	none	not-required	not-required	lifecycle	observed	tool-only	available	none	typed-invalid
unavailable-cancellation	dropped	unknown	resumable	explicit-async	lifecycle	observed	evidence	unavailable	none	typed-unavailable
unavailable-observation	active	none	not-required	not-required	lifecycle	observed	evidence	unavailable	none	typed-unavailable
leaf-log-fallback	active	none	not-required	not-required	leaf	observed	evidence	available	leaf-log	typed-invalid
tool-availability-fallback	active	none	not-required	not-required	lifecycle	observed	tool-only	available	tool-availability	typed-invalid
