case	capture	closure	store	process	post_capture_mutation	authorization_view	provider_view	promise	separate_artifacts	separation_basis	expected
cold_process_reconstruction	exact	complete	persistent	fresh	isolated	immutable	immutable	cold-replay	optional	none	allow
in_process_handle	exact	complete	memory-only	same	isolated	immutable	immutable	in-process	optional	none	allow
complete_aggregate_cold_replay	exact	complete	persistent	fresh	isolated	immutable	immutable	cold-replay	optional	none	allow
independent_records_justified	exact	complete	persistent	fresh	isolated	immutable	immutable	cold-replay	required	independent-promise	allow
forced_separate_without_promise	exact	complete	persistent	fresh	isolated	immutable	immutable	cold-replay	required	none	typed-invalid
cold_replay_memory_only	exact	complete	memory-only	fresh	isolated	immutable	immutable	cold-replay	optional	none	typed-invalid
cold_replay_same_process	exact	complete	persistent	same	isolated	immutable	immutable	cold-replay	optional	none	typed-invalid
live_read_after_capture	exact	complete	persistent	fresh	visible	immutable	immutable	cold-replay	optional	none	typed-invalid
missing_transitive_authority	exact	incomplete	persistent	fresh	isolated	immutable	immutable	cold-replay	optional	none	typed-unavailable
ambient_authorization	exact	complete	persistent	fresh	isolated	ambient	immutable	cold-replay	optional	none	typed-invalid
ambient_provider_input	exact	complete	persistent	fresh	isolated	immutable	ambient	cold-replay	optional	none	typed-invalid
unavailable_cold_store	exact	complete	unavailable	fresh	isolated	immutable	immutable	cold-replay	optional	none	typed-unavailable
unknown_promise	exact	complete	persistent	fresh	isolated	immutable	immutable	unknown	unknown	unknown	typed-unavailable
