case	actual
required_complete	allow
best_effort_pass	allow
best_effort_failure	allow
unsupported_target	typed-unsupported
required_partial	acceptance-blocked
required_failed	acceptance-blocked
required_not_run	acceptance-blocked
missing_environment	acceptance-blocked
simulated_substitute	typed-invalid
missing_contract	typed-unavailable
contradictory_contract	typed-invalid
unknown_coverage	typed-unavailable
unknown_schedule	typed-unavailable
unknown_orchestration	typed-unavailable
fixed_schedule	typed-invalid
fixed_fail_fast	typed-invalid
default_targets	typed-invalid
current_platform_substitute	typed-invalid
weaken_required	typed-invalid
provider_matrix	typed-invalid
default_success	typed-invalid
