candidate_id	checker	line	column	matcher	operator	numeric_literals	expression	source_fingerprint	source_text
numeric-c741df467da9987ceb4e06ab991f0b1bef1b1bca8738412a9569a56f1e3f1c8e	evaluation/standards-effectiveness/verify-accessibility-evidence-closure.sh	7	42	symbolic-numeric	!=	0	n!=0	77332aad3f1ff4f2d9ea946965a6d45b533277ab563d41c60e298e63eddf2bfe	"awk '/^## /&&$0!~/Migrated/{n++}END{exit n!=0}' ""$R/ACCESSIBILITY-STANDARDS.md"";! rg -q 'eslint-plugin|jsx-a11y|npm install' ""$R/ACCESSIBILITY-STANDARDS.md"""
numeric-070b46ea6851a299901e4b4975a6de46b85551f8081f1b3809d9c7f1c4526728	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	38	20	symbolic-numeric	==	28	$1==28	fbeba6fbbc3fc14fa83a3ba88650025a665242544a595d02358b140443c342de	"[[ ""$(awk -F '\t' '$1==28&&$6!=""exists""{n++}END{print n+0}' \"
numeric-db9569d02a536649773076723f4e7253f03c46154b9e945562180d3ee00867dc	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	39	46	shell-numeric	-eq	0	""")"" -eq 0"	38c1b73d9c7cac811dedfe90e99f32d784970ff830f80e8d3c3447295e42cdf6	"  ""$S/milestone-7-execution-decomposition.tsv"")"" -eq 0 ]]"
numeric-87f633ffbb9133edf3545d825d761b356642877d387637dffa745bc0bf6205fc	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	40	20	symbolic-numeric	==	28	$1==28	57dc1d2c0bae53fb54ebad19b94a2e61bfff70f855b096a660ee44d12fcf2d38	"[[ ""$(awk -F '\t' '$1==28&&$2==1{print $7}' \"
numeric-640b99046fa16e12823bd8c2f249ae8ad127f4d1a8bcb5fc8b4d6b93063bfc26	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	40	28	symbolic-numeric	==	1	$2==1	57dc1d2c0bae53fb54ebad19b94a2e61bfff70f855b096a660ee44d12fcf2d38	"[[ ""$(awk -F '\t' '$1==28&&$2==1{print $7}' \"
numeric-112ed4f75ac4012ad6ae757e65800e44c261b30469405af2a7d6fd6834e0b157	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	42	20	symbolic-numeric	==	28	$1==28	819b2c9072dbc357aefade544572f5a3bf06648862e0c90a3f6dca3698d86f99	"[[ ""$(awk -F '\t' '$1==28&&$2>1&&$7!=""pre-slice-review""{n++}END{print n+0}' \"
numeric-1daede15f33da32aa9d63104ec27d006d9a208be99e8d8f34d3c684f942eda53	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	42	28	symbolic-numeric	>	1	$2>1	819b2c9072dbc357aefade544572f5a3bf06648862e0c90a3f6dca3698d86f99	"[[ ""$(awk -F '\t' '$1==28&&$2>1&&$7!=""pre-slice-review""{n++}END{print n+0}' \"
numeric-73b3cfb568fe3ad8e783f3dac690c37203e27271dfc61fb2d94023e248c9ed06	evaluation/standards-effectiveness/verify-accessibility-owner-contract.sh	43	46	shell-numeric	-eq	0	""")"" -eq 0"	38c1b73d9c7cac811dedfe90e99f32d784970ff830f80e8d3c3447295e42cdf6	"  ""$S/milestone-7-execution-decomposition.tsv"")"" -eq 0 ]]"
numeric-947e947b169de878050dd0ad46f549f4d490a3e2146f6be1f678beeff82d1720	evaluation/standards-effectiveness/verify-architecture-directory-template-closure.sh	45	37	symbolic-numeric	>	1	NR > 1	91cf16c91091c34f754355f27800bcbbc40f281f5f729c9e638336d655bc407b	"mapfile -t row_ids < <(awk -F '\t' 'NR > 1 { print $1 }' ""$S/milestone-7-row-37-owner-validation.tsv"")"
numeric-621a81639da4c5777c4b479d58c78e1b471085d306ac94af896f5b64886c76dd	evaluation/standards-effectiveness/verify-architecture-directory-template-closure.sh	46	4	shell-numeric	-eq	19	"""${#row_ids[@]}"" -eq 19"	bae381112cac3bbe9c56a1872983a572faf498fe72ddfa507bf76f7960b925b7	"[[ ""${#row_ids[@]}"" -eq 19 ]]"
