case	authority	contracts	durability	replay	ordering	fallback	expected
selected_durable	complete	complete	required	complete	complete	none	illustrate
selected_transient	complete	complete	not-required	none	complete	none	omit-durable
missing_authority	missing	complete	required	complete	complete	none	typed-unavailable
missing_contract	complete	missing	required	complete	complete	none	typed-unavailable
missing_durability	complete	complete	missing	complete	complete	none	typed-unavailable
missing_replay	complete	complete	required	missing	complete	none	typed-unavailable
missing_ordering	complete	complete	required	complete	missing	none	typed-unavailable
unsupported_durability	complete	complete	unsupported	complete	complete	none	typed-unsupported
contradictory_authority	contradictory	complete	required	complete	complete	none	typed-invalid
event_source_fallback	complete	complete	required	complete	complete	event-sourcing	typed-invalid
memory_resume_fallback	complete	complete	required	complete	complete	in-memory	typed-invalid
fixed_components_fallback	complete	complete	required	complete	complete	fixed-components	typed-invalid
