train_order	package_id	risk_class	owner	owner_action	verification_family	draft_mode	integration_gate	semantic_outcome	prerequisites
5	P01	refinement	profiles/languages/rust/language-bindings.md	existing-review	decision-table	isolated-draft	focused	rust-binding-row-decomposition	core,workflow.verification,profile.language.rust,profile.boundary.language-bindings,topic.contracts
6	P02	safety-critical	topics/cross-platform.md	existing-review	decision-table	isolated-draft	focused	cross-platform-row-decomposition	core,workflow.verification,workflow.release
7	P03	consolidation	profiles/languages/rust/language-bindings.md	existing-review	decision-table	isolated-draft	focused	rust-binding-row-decomposition	core,workflow.verification,workflow.release,profile.language.rust,profile.boundary.language-bindings,topic.contracts
8	P04	refinement	profiles/languages/rust/language-bindings.md	existing-review	decision-table	isolated-draft	focused	rust-binding-generation-and-build-decomposition	core,workflow.verification,workflow.release,profile.language.rust,profile.boundary.language-bindings,topic.contracts
9	P05	consolidation	profiles/languages/rust/language-bindings.md	existing-review	decision-table	isolated-draft	focused	rust-binding-cdylib-artifact-contract	core,workflow.verification,profile.language.rust,profile.boundary.language-bindings
10	P06	safety-critical	profiles/languages/rust/security.md	existing-review	decision-table	isolated-draft	full-suite	rust-panic-boundary-contract	core,workflow.verification,topic.security,profile.language.rust
11	P07	consolidation	topics/resilience.md	existing-review	decision-table	isolated-draft	focused	resilience-recovery-contract	core,workflow.verification,topic.contracts
12	P08	refinement	topics/concurrency.md	existing-review	decision-table	isolated-draft	focused	async-specialization-row-decomposition	core,workflow.verification
13	P08	refinement	topics/concurrency.md	existing-review	decision-table	isolated-draft	focused	async-specialization-row-decomposition	core,workflow.verification
14	P09	refinement	profiles/applications/launcher.md	existing-review	decision-table	isolated-draft	full-suite	launcher-row-decomposition	core,workflow.verification,workflow.release,topic.resilience,topic.security
15	P10	refinement	CORE-STANDARDS.md	existing-review	decision-table	serial-only	full-suite	coding-row-decomposition	core,topic.resilience,topic.contracts,topic.dependencies,workflow.implementation,workflow.verification
16	P11	consolidation	topics/dependencies.md	existing-review	decision-table	isolated-draft	full-suite	dependency-selection-and-maintenance-contract	core,workflow.verification,workflow.release
17	P12	consolidation	workflows/planning.md	existing-review	decision-table	serial-only	full-suite	planning-rule-consolidation	core,workflow.implementation,workflow.verification
18	P13	refinement	workflows/verification.md	existing-review	decision-table	serial-only	full-suite	verification-rule-consolidation	core
19	P14	new-owner-design	workflows/tooling.md	create-before-populate	owner-contract	serial-only	full-suite	tooling-governance-contract	core,workflow.implementation,workflow.verification,workflow.commit
20	P15	new-owner-design	profiles/languages/rust/api.md	create-before-populate	owner-contract	isolated-draft	full-suite	rust-api-contract	core,workflow.verification,profile.language.rust,topic.contracts
21	P16	new-owner-design	profiles/languages/rust/dependencies.md	create-before-populate	owner-contract	isolated-draft	full-suite	rust-dependency-specialization	core,workflow.verification,profile.language.rust,topic.dependencies
22	P17	new-owner-design	profiles/languages/rust/release.md	create-before-populate	owner-contract	isolated-draft	full-suite	rust-release-specialization	core,workflow.verification,workflow.release,profile.language.rust,profile.language.rust.dependencies
23	P18	new-owner-design	profiles/languages/rust/tooling.md	create-before-populate	owner-contract	isolated-draft	full-suite	rust-tooling-specialization	core,workflow.verification,workflow.tooling,profile.language.rust
24	P19	consolidation	workflows/implementation.md	existing-review	migration-structure	serial-only	full-suite	thin-implementation-prompt-routing	core
25	P19	consolidation	workflows/implementation.md	existing-review	migration-structure	serial-only	full-suite	thin-implementation-prompt-routing	core
26	P20	consolidation	workflows/planning.md	existing-review	migration-structure	serial-only	full-suite	plan-template-derivation	core,workflow.implementation,workflow.verification
27	P21	consolidation	workflows/implementation.md	existing-review	migration-structure	serial-only	full-suite	pull-request-template-derivation	core
28	P22	new-owner-design	topics/accessibility.md	create-before-populate	owner-contract	isolated-draft	full-suite	accessibility-contract	core,workflow.verification
29	P23	refinement	topics/contracts.md	existing-review	decision-table	isolated-draft	focused	immutable-contract-semantics	core,workflow.verification
30	P24	refinement	topics/contracts.md	existing-review	decision-table	isolated-draft	focused	package-boundary-contract	core,workflow.verification
31	P25	new-owner-design	topics/diagnostics.md	create-before-populate	owner-contract	isolated-draft	full-suite	diagnostic-and-tracing-contract	core,workflow.verification,topic.contracts
32	P26	new-owner-design	profiles/boundaries/persistence.md	create-before-populate	owner-contract	isolated-draft	full-suite	persistence-mutation-and-evolution-contract	core,workflow.verification,topic.contracts,topic.resilience
33	P27	refinement	topics/contracts.md	existing-review	decision-table	isolated-draft	focused	http-error-contract	core,workflow.verification
34	P28	new-owner-design	profiles/applications/frontend.md	create-before-populate	owner-contract	isolated-draft	full-suite	frontend-authority-and-projection-contract	core,workflow.verification,topic.contracts,topic.accessibility
35	P29	mechanical	STANDARDS-ROUTER.md	closure-only	migration-structure	serial-only	full-suite	root-index-closure	core
36	P30	new-owner-design	reference/patterns/architecture.md	create-before-populate	owner-contract	isolated-draft	full-suite	architecture-pattern-reference-extraction	core,workflow.documentation
37	P30	new-owner-design	reference/patterns/architecture.md	create-before-populate	owner-contract	isolated-draft	full-suite	architecture-pattern-reference-extraction	core,workflow.documentation
38	P31	consolidation	workflows/documentation.md	existing-review	migration-structure	serial-only	focused	directory-readme-rule-consolidation	core
39	P32	consolidation	reference/patterns/architecture.md	populate-after-create	migration-structure	isolated-draft	focused	architecture-pattern-reference-extraction	core,workflow.documentation,reference.patterns.architecture
40	P32	consolidation	reference/patterns/architecture.md	populate-after-create	migration-structure	isolated-draft	focused	architecture-pattern-reference-extraction	core,workflow.documentation,reference.patterns.architecture
41	P33	mechanical	workflows/documentation.md	closure-only	migration-structure	serial-only	focused	documentation-index-closure	core
42	P34	mechanical	topics/security.md	closure-only	migration-structure	serial-only	focused	security-index-closure	core,workflow.verification
43	P35	mechanical	profiles/languages/rust/language-bindings.md	closure-only	migration-structure	serial-only	focused	rust-binding-index-closure	core,workflow.verification,profile.language.rust,profile.boundary.language-bindings
44	P36	mechanical	profiles/languages/rust/security.md	closure-only	migration-structure	serial-only	focused	rust-security-index-closure	core,workflow.verification,topic.security,profile.language.rust
45	P37	mechanical	STANDARDS-ROUTER.md	closure-only	migration-structure	serial-only	focused	language-index-closure	core
46	P38	mechanical	profiles/languages/rust/README.md	closure-only	migration-structure	serial-only	focused	rust-index-closure	core
47	P39	consolidation	workflows/documentation.md	existing-review	migration-structure	serial-only	full-suite	readme-template-derivation	core
